序号,stock_code,stock_name,net_profit,net_profit_yoy,revenue,revenue_yoy,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,operating_profit,total_profit,announcement_date,report_date_param,report_type,资产-货币资金,资产-应收账款,资产-存货,total_assets,资产-总资产同比,负债-应付账款,负债-预收账款,total_liabilities,负债-总负债同比,asset_liability_ratio,equity,net_cash_flow,净现金流-同比增长,operating_cash_flow,经营性现金流-净现金流占比,investing_cash_flow,投资性现金流-净现金流占比,financing_cash_flow,融资性现金流-净现金流占比
88,688505,复旦张江,7711649.0,189.36,149051087.0,-17.1506042175,12282491.0,72932623.0,10321731.0,-294501.0,150948265.0,7658982.0,7635510.0,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
90,688500,慧辰股份,-27558708.7,-56.077887076773,105046021.53,36.4785914044,82384003.94,25445818.21,15309139.2,-342199.89,129735726.14,-27430319.53,-27430319.23,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
91,688499,利元亨,18877372.27,47.25,875013117.8,22.4276390299,661959781.02,30523036.04,64780485.27,2721940.12,860001982.01,20349694.94,20967693.3,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
92,688489,三未信安,-22614789.47,33.508251597977,72154760.18,10.1083475448,14624506.61,40143448.56,16396518.98,-477060.73,103110464.49,-29077614.81,-28883880.45,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
93,688488,艾迪药业,7606253.11,-51.19,178023123.63,-10.0259614305,57829450.25,64499488.47,21609793.84,3981324.39,163507908.0,18138656.82,15846343.79,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
95,688478,晶升股份,-8759329.45,-245.79,3022085.47,-95.7323343584,2108194.71,1138489.96,7580363.84,-58747.64,21014345.34,-11753103.43,-11585638.91,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
96,688458,美芯晟,-5393445.24,-246.91,116575550.7,-6.8468291318,76491105.82,6656839.0,9941698.17,771496.56,133583749.62,-12051383.99,-12051376.99,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
100,688418,震有科技,-44904364.54,-2313.95,116513121.36,-30.8496983255,71364853.21,23322099.08,16931689.88,6955007.32,162375337.97,-51609220.0,-51672393.98,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
101,688410,山外山,54476678.85,47.21,229628936.29,21.3283648714,103085788.87,45607003.91,11152978.74,74955.71,176303733.89,63923463.73,62162181.52,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
105,688401,路维光电,68222926.31,38.81,326568217.57,25.564540578,210993294.03,5260716.85,12848943.08,630346.01,245267581.73,74824343.57,74824343.57,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
106,688399,硕世生物,21122244.19,64.77,78583971.79,-14.2174738771,32441775.11,24940869.0,14284406.03,2401174.67,90699617.91,25224954.17,26662962.33,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
108,688386,泛亚微透,18160088.64,-24.59,164002454.85,24.9498053384,97372056.98,7169283.37,17765137.04,4043104.84,138034403.33,24545320.59,24537496.63,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
110,688379,华光新材,37055188.95,-61.17,1078658556.2,84.107422414,948318878.02,7529824.42,16692657.68,19609600.9,1019391232.73,40223300.47,40150137.26,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
114,688360,德马科技,37057112.95,17.14,397382872.54,13.2218928292,267277950.93,14124607.4,32624100.47,5458778.58,352247300.75,45080728.71,45122157.52,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
116,688353,华盛锂电,97017036.04,325.18735619606,327009427.45,96.8250370344,147533418.8,2152869.63,24482938.01,2694811.13,195095687.39,111443604.99,111195015.25,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
120,688339,亿华通,-51043437.82,45.119307319912,16673836.66,58.4020984948,22670461.76,8834379.55,40837380.21,3855906.08,81815845.48,-60664056.38,-60760946.57,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
123,688325,赛微微电,11208970.46,-28.19,106971056.13,17.216570762,50710867.55,6910282.05,9347619.77,541294.43,106267762.39,9493725.59,9707104.73,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
126,688319,欧林生物,27189316.87,484.360417765911,157803808.92,80.3672423368,12874679.08,76872019.28,19719862.19,4213823.19,136476818.31,32392401.95,32422385.42,2026-04-30,20260331,profit,,,,,,,,,,,,,,,,,,,
