date,open,high,low,close,volume,amount,n_stocks,index_code,source
2026-01-06,1002.3519955562621,1029.3130820810293,987.5924181805443,1011.5214625585767,12360422454.0,589475235369.99,1997,932000,computed_local_equal_weight_proxy
2026-01-07,1008.2084741693784,1037.0203495751703,990.9357749930022,1015.1308895647469,12947832743.0,616387348074.79,1996,932000,computed_local_equal_weight_proxy
2026-01-08,1013.9448434855109,1048.348350384077,1001.0693807387046,1027.901432725416,13021106035.0,623491621590.83,1998,932000,computed_local_equal_weight_proxy
2026-01-09,1025.6064419091874,1060.2663385249052,1010.8488283580533,1042.9559943495606,15094126944.0,709119819841.31,1997,932000,computed_local_equal_weight_proxy
2026-01-12,1048.0200982869924,1085.1693782633286,1028.1603570810123,1068.4388705662902,17533420732.0,806241357936.85,1997,932000,computed_local_equal_weight_proxy
2026-01-13,1075.2766110728567,1102.1564526289662,1034.2165199180586,1053.5629657145382,18287493156.0,820585071502.04,1995,932000,computed_local_equal_weight_proxy
2026-01-14,1048.3869261313903,1095.8931139282943,1029.2919190315192,1063.373412509232,18903933913.0,856884917297.24,1994,932000,computed_local_equal_weight_proxy
2026-01-15,1053.492936367953,1083.3909436372371,1030.1575628186342,1056.3732057249667,13701592308.0,626717879827.15,1995,932000,computed_local_equal_weight_proxy
2026-01-16,1053.0728299668028,1084.9986756304418,1031.351172736174,1058.5562966320463,13639439303.0,631807079884.74,1996,932000,computed_local_equal_weight_proxy
2026-01-19,1061.2548200017347,1094.2572281996777,1043.4341086685524,1071.1202595082389,12656993298.0,593274983545.5,1998,932000,computed_local_equal_weight_proxy
2026-01-20,1077.3362192285215,1100.3922071250272,1043.849311702202,1063.8158543314307,12916531822.0,610515385450.26,2000,932000,computed_local_equal_weight_proxy
2026-01-21,1051.5643059535248,1090.7299719683995,1039.0300977216475,1072.824885491308,11736022294.0,554455663226.1,2000,932000,computed_local_equal_weight_proxy
2026-01-22,1079.1693416331577,1105.4155719213531,1058.5922970872125,1082.3863646062864,11609559291.0,568026600046.97,2000,932000,computed_local_equal_weight_proxy
2026-01-23,1082.6924284861282,1115.260826776914,1066.422658272072,1098.7792231216426,13441357764.0,655847417277.99,2000,932000,computed_local_equal_weight_proxy
2026-01-26,1106.1495712951653,1127.4324957551241,1063.8762479894517,1083.6598732999512,14390122663.0,681376601418.13,1998,932000,computed_local_equal_weight_proxy
2026-01-27,1069.790777784483,1101.2104247740433,1036.560726019678,1082.7541622604501,12362731240.0,597004518686.93,1998,932000,computed_local_equal_weight_proxy
2026-01-28,1083.1835844608956,1106.3294613648225,1053.2677002615665,1073.167456733341,11802447367.0,575921476060.86,1997,932000,computed_local_equal_weight_proxy
2026-01-29,1076.77073429904,1106.9873058109586,1046.0668293414474,1062.171185859259,13155258479.0,624059513737.72,1997,932000,computed_local_equal_weight_proxy
2026-01-30,1052.2427085354634,1085.6099974366462,1028.098281169165,1062.8670802527838,13077346269.0,565527079860.3,1997,932000,computed_local_equal_weight_proxy
2026-02-02,1061.6706077490771,1087.2192069944645,1031.9335649017492,1040.4171506135388,11633206156.0,525166902767.84,1998,932000,computed_local_equal_weight_proxy
2026-02-03,1044.6461395513165,1075.3592483579234,1029.129032311022,1065.5550590148368,10374811147.0,514621953868.71,1998,932000,computed_local_equal_weight_proxy
2026-02-04,1069.6025250814737,1091.7268345890616,1045.2954811166608,1068.7717403653648,10455380078.0,521427537194.44,1998,932000,computed_local_equal_weight_proxy
2026-02-05,1061.409145511846,1084.7331707094943,1040.7480829183605,1058.3651252873617,9781035239.0,470064992598.22,1997,932000,computed_local_equal_weight_proxy
2026-02-06,1052.2753955379806,1088.2742382582608,1037.4293198028317,1062.8382244519983,10045866031.0,497177457533.07,1996,932000,computed_local_equal_weight_proxy
2026-02-09,1072.4083152895078,1098.840058745454,1055.0990133084993,1082.6845275266373,10721062409.0,520957418396.59,1997,932000,computed_local_equal_weight_proxy
2026-02-10,1083.5551906049682,1106.082544889181,1064.6645818348843,1082.3783916648872,10414421082.0,495791903335.92,1997,932000,computed_local_equal_weight_proxy
2026-02-11,1082.7102374347298,1104.3013042022837,1065.415056745861,1079.0450545833664,9674751755.0,451535770884.81,1997,932000,computed_local_equal_weight_proxy
2026-02-12,1074.6347767048378,1101.0175387854943,1058.290286717836,1078.8800251194502,10176089332.0,480282602469.95,1998,932000,computed_local_equal_weight_proxy
2026-02-13,1075.2005330249349,1100.9158228096824,1059.681185381668,1073.0279546759473,9086238786.0,431751010434.67,1996,932000,computed_local_equal_weight_proxy
2026-02-24,1091.159813933623,1114.059335084104,1063.4998878386164,1087.3414645106204,10417014801.0,483471606892.33,1996,932000,computed_local_equal_weight_proxy
2026-02-25,1088.3269695999236,1113.8967924399801,1069.284635354711,1096.7253485990786,10960364448.0,514881848609.11,1995,932000,computed_local_equal_weight_proxy
2026-02-26,1090.838318998329,1120.2087149478245,1072.820489696255,1103.1029653728838,12011915035.0,543238124860.31,1996,932000,computed_local_equal_weight_proxy
