stock_code,stock_name,latest_price,pct_change,turnover_rate,volume,amount,amplitude,pe_dynamic,pb,total_market_value,float_market_value,snapshot_date,source,synthesized_at
002119,康强电子,23.0,-9.98,13.04,489498.0,1172485699.43,10.57,,,,,2026-05-29,derived_from_last_daily_row,20260608
002148,北纬科技,6.63,-3.63,2.46,110391.0,74407971.21,5.67,,,,,2026-05-29,derived_from_last_daily_row,20260608
002165,红宝丽,6.82,-4.35,6.0,436279.0,302070552.59,6.45,,,,,2026-05-29,derived_from_last_daily_row,20260608
002298,中电鑫龙,9.32,-6.05,6.15,406610.0,388284728.75,6.75,,,,,2026-05-29,derived_from_last_daily_row,20260608
001205,盛航股份,13.84,-1.28,1.46,24225.0,33792766.51,2.57,,,,,2026-05-29,derived_from_last_daily_row,20260608
000037,深南电A,11.5,10.05,9.33,316177.0,356787488.27,10.81,,,,,2026-05-29,derived_from_last_daily_row,20260608
000096,广聚能源,8.21,-0.12,1.2,61307.0,50311166.49,1.58,,,,,2026-05-29,derived_from_last_daily_row,20260608
000159,国际实业,6.47,-3.0,3.43,164708.0,107206411.6,3.9,,,,,2026-05-29,derived_from_last_daily_row,20260608
000404,长虹华意,8.33,-4.03,3.69,255367.0,215435232.72,5.53,,,,,2026-05-29,derived_from_last_daily_row,20260608
002300,太阳电缆,8.55,-2.84,3.6,260309.0,224052881.34,4.55,,,,,2026-05-29,derived_from_last_daily_row,20260608
000025,特力A,15.66,9.97,3.25,127534.0,194152491.91,10.25,,,,,2026-05-29,derived_from_last_daily_row,20260608
002229,鸿博股份,13.01,-4.97,7.27,358707.0,475933266.46,5.92,,,,,2026-05-29,derived_from_last_daily_row,20260608
001216,华瓷股份,16.12,-2.3,0.99,24258.0,39321051.2,3.21,,,,,2026-05-29,derived_from_last_daily_row,20260608
002135,东南网架,7.22,-8.14,4.77,497743.0,367103992.29,9.8,,,,,2026-05-29,derived_from_last_daily_row,20260608
000948,南天信息,13.14,-2.01,1.19,46142.0,61821765.2,5.44,,,,,2026-05-29,derived_from_last_daily_row,20260608
000989,九芝堂,8.07,2.02,1.89,131127.0,105528780.99,3.03,,,,,2026-05-29,derived_from_last_daily_row,20260608
002159,三特索道,14.93,-0.47,2.58,35689.0,53508842.0,2.67,,,,,2026-05-29,derived_from_last_daily_row,20260608
002124,天邦食品,2.57,-0.77,5.14,1012780.0,262547794.6,4.25,,,,,2026-05-29,derived_from_last_daily_row,20260608
002235,安妮股份,10.0,-3.47,5.47,302722.0,309108108.28,5.79,,,,,2026-05-29,derived_from_last_daily_row,20260608
000925,众合科技,7.81,-2.86,6.47,435630.0,348428557.19,6.47,,,,,2026-05-29,derived_from_last_daily_row,20260608
002225,濮耐股份,3.75,-2.6,3.37,319254.0,122004571.52,4.16,,,,,2026-05-29,derived_from_last_daily_row,20260608
002160,常铝股份,4.47,-2.19,2.52,259467.0,118464339.48,4.16,,,,,2026-05-29,derived_from_last_daily_row,20260608
000017,深中华A,5.41,-1.64,1.5,66294.0,36187959.0,3.09,,,,,2026-05-29,derived_from_last_daily_row,20260608
