stock_code,stock_name,index_code,index_name,exchange,in_date,source,download_date,指数英文名称,成分券英文名称,exchange_en
000524,岭南控股,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Guangzhou Lingnan Group Holdings Company Limited,Shenzhen Stock Exchange
000526,学大教育,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"XUEDA (XIAMEN) EDUCATION TECHNOLOGY GROUP CO., LTD",Shenzhen Stock Exchange
000530,冰山冷热,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Bingshan Refrigeration & Heat Transfer Technologies Co.,Ltd.",Shenzhen Stock Exchange
000531,穗恒运A,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Guangzhou Hengyun Enterprises Holding Ltd,Shenzhen Stock Exchange
000532,华金资本,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Zhuhai Huajin Capital Co., Ltd.",Shenzhen Stock Exchange
000533,顺钠股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Guangdong Shunna Electric Co.,Ltd.",Shenzhen Stock Exchange
000534,万泽股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Wedge Industrial Co.,Ltd.",Shenzhen Stock Exchange
000541,佛山照明,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Foshan Electrical and Lighting Co Ltd,Shenzhen Stock Exchange
000548,湖南投资,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Hunan Investment Group Co Ltd,Shenzhen Stock Exchange
000551,创元科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Create Technology and Science Co.,Ltd.",Shenzhen Stock Exchange
000554,泰山石油,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Sinopec Shandong Taishan Petroleum Co Ltd,Shenzhen Stock Exchange
000558,天府文旅,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Chengdu New Tianfu Culture Tourism Development Co.,Ltd.",Shenzhen Stock Exchange
000560,我爱我家,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"5I5J HOLDING GROUP CO., LTD.",Shenzhen Stock Exchange
000561,烽火电子,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shaanxi Fenghuo Electronics Co Ltd,Shenzhen Stock Exchange
000565,渝三峡A,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Chongqing Sanxia Paints Co Ltd,Shenzhen Stock Exchange
000570,苏常柴A,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Changchai Co Ltd,Shenzhen Stock Exchange
000576,甘化科工,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Guangdong Ganhua Science & Industry Co., Ltd.",Shenzhen Stock Exchange
000592,平潭发展,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,ZHONGFU STRAITS (PINGTAN) DEVELOPMENT COMPANY LIMITED,Shenzhen Stock Exchange
000601,韶能股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Guangdong Shaoneng Group Co Ltd,Shenzhen Stock Exchange
000607,华媒控股,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Zhejiang Huamei Holding CO., LTD.",Shenzhen Stock Exchange
000635,英 力 特,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Ningxia Younglight Chemicals Co.,Ltd",Shenzhen Stock Exchange
000652,泰达股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Tianjin TEDA Resources Recycling Group Co.,Ltd.",Shenzhen Stock Exchange
000655,金岭矿业,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shandong Jinling Mining Co Ltd,Shenzhen Stock Exchange
000659,珠海中富,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Zhuhai Zhongfu Enterprise Co Ltd,Shenzhen Stock Exchange
000670,盈方微,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Infotmic Co.,Ltd.",Shenzhen Stock Exchange
000700,模塑科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Jiangnan Mould & Plastic Technology Co Ltd,Shenzhen Stock Exchange
000701,厦门信达,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Xiamen Xinde Co Ltd,Shenzhen Stock Exchange
000705,浙江震元,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Zhejiang Zhenyuan Share Co., Ltd",Shenzhen Stock Exchange
000707,双环科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Hubei Shuanghuan Science And Technologystock Co Ltd,Shenzhen Stock Exchange
000710,贝瑞基因,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"BerryGenomics Co., Ltd",Shenzhen Stock Exchange
000713,国投丰乐,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"SDIC FENGLE SEED CO.,LTD",Shenzhen Stock Exchange
000715,中兴商业,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Zhongxing Shenyang Commercial Building  Group Co., Ltd",Shenzhen Stock Exchange
000716,黑芝麻,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"NANFANG BLACK SESAME GROUP CO., LTD.",Shenzhen Stock Exchange
000717,中南股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Guangdong Zhongnan Iron & Steel Co., Ltd.",Shenzhen Stock Exchange
000718,苏宁环球,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Suning Universal Co Ltd,Shenzhen Stock Exchange
000721,西安饮食,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Xi'an Catering Co Ltd,Shenzhen Stock Exchange
000722,湖南发展,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Hunan Energy Group Development Co.,Ltd.",Shenzhen Stock Exchange
000726,鲁  泰A,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Lu Thai Textile Co Ltd,Shenzhen Stock Exchange
000731,四川美丰,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Sichuan Meifeng Chemical Industry Co Ltd,Shenzhen Stock Exchange
000751,锌业股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Huludao Zinc Industry Co Ltd,Shenzhen Stock Exchange
000753,漳州发展,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Fujian Zhangzhou Development Co.,Ltd",Shenzhen Stock Exchange
000759,中百集团,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Zhongbai Holdings Group Co Ltd,Shenzhen Stock Exchange
000777,中核科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,SUFA Technology Industry Co Ltd CNNC,Shenzhen Stock Exchange
000779,甘咨询,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Gansu Engineering Consulting Group Co., Ltd.",Shenzhen Stock Exchange
000782,恒申新材,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Guangdong Highsun Meida New Materials Co., Ltd.",Shenzhen Stock Exchange
000788,北大医药,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"PKU HealthCare Corp., Ltd.",Shenzhen Stock Exchange
000797,中国武夷,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,China Wuyi Co Ltd,Shenzhen Stock Exchange
000798,中水渔业,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,CNFC Overseas Fishery Co Ltd,Shenzhen Stock Exchange
000803,山高环能,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,SHANDONG HIGH SPEED RENEWABLE ENERGY GROUP LIMITED,Shenzhen Stock Exchange
000812,陕西金叶,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shaanxi Jinye Science Technology and Education Co Ltd Group,Shenzhen Stock Exchange
000815,美利云,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"MCC MEILI CLOUD COMPUTING INDUSTRY INVESTMENT CO., LTD",Shenzhen Stock Exchange
000816,智慧农业,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"JIANGSU NONGHUA INTELLIGENT AGRICULTURE TECHNOLOGY CO.,LTD.",Shenzhen Stock Exchange
000819,岳阳兴长,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Yueyang Xingchang Petrochemical Co Ltd,Shenzhen Stock Exchange
000822,山东海化,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Shandong Haihua Co Ltd,Shenzhen Stock Exchange
000823,超声电子,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Guangdong Goworld Co Ltd,Shenzhen Stock Exchange
000850,华茂股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Anhui Huamao Textile Co Ltd,Shenzhen Stock Exchange
000852,石化机械,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Sinopec Oilfield Equipment Corporation,Shenzhen Stock Exchange
000859,国风新材,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Anhui Guofeng New Materials Co., Ltd.",Shenzhen Stock Exchange
000862,银星能源,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Ningxia Yin Xing Energy Co.,Ltd",Shenzhen Stock Exchange
000863,三湘印象,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"SANXIANG IMPRESSION CO.,LTD",Shenzhen Stock Exchange
000868,安凯客车,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Anhui Ankai Automobile Co Ltd,Shenzhen Stock Exchange
000882,华联股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Beijing Hualian Department Store Co Ltd,Shenzhen Stock Exchange
000886,海南高速,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Hainan Expressway Co Ltd,Shenzhen Stock Exchange
000888,峨眉山A,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Emei Shan Tourism Co Ltd,Shenzhen Stock Exchange
000892,欢瑞世纪,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,H&R Century Union Corporation,Shenzhen Stock Exchange
000897,津滨发展,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Tianjin Jinbin Development Co Ltd,Shenzhen Stock Exchange
000900,现代投资,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Xiandai Investment Co Ltd,Shenzhen Stock Exchange
000905,厦门港务,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Xiamen Port Development Co Ltd,Shenzhen Stock Exchange
000906,浙商中拓,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"ZHESHANG Development Group Co.,LTD.",Shenzhen Stock Exchange
000912,泸天化,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Sichuan Lutianhua Co Ltd,Shenzhen Stock Exchange
000915,华特达因,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"SHANDONG WIT DYNE HEALTH CO.,LTD",Shenzhen Stock Exchange
000919,金陵药业,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Jinling Pharmaceutical Co Ltd,Shenzhen Stock Exchange
000920,沃顿科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Vontron Technology Co., Ltd.",Shenzhen Stock Exchange
000922,佳电股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"Harbin Electric Coporation Jiamusi Electric Machine CO.,Ltd",Shenzhen Stock Exchange
000925,众合科技,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,"United Science & Technology Co., Ltd.",Shenzhen Stock Exchange
000926,福星股份,932000,中证2000,深圳证券交易所,2026-06-05,index_stock_cons_csindex,20260608,CSI 2000,Hubei Fuxing Science And Technology Co Ltd,Shenzhen Stock Exchange
