date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,001316,28.26,28.3,29.25,27.26,55539,222475515.35,7.14,1.47,0.41,4.99,qfq,stock_zh_a_hist
2026-01-06,001316,28.27,27.65,28.39,27.5,40011,157480121.84,3.14,-2.3,-0.65,3.6,qfq,stock_zh_a_hist
2026-01-07,001316,27.64,27.3,27.69,26.84,33700,129763023.8,3.07,-1.27,-0.35,3.03,qfq,stock_zh_a_hist
2026-01-08,001316,27.07,27.87,28.02,26.9,38630,151053942.43,4.1,2.09,0.57,3.47,qfq,stock_zh_a_hist
2026-01-09,001316,28.02,29.16,30.18,27.53,85420,344637485.01,9.51,4.63,1.29,7.68,qfq,stock_zh_a_hist
2026-01-12,001316,29.15,30.75,31.18,28.65,85649,361664131.15,8.68,5.45,1.59,7.7,qfq,stock_zh_a_hist
2026-01-13,001316,30.4,28.34,30.4,28.1,58039,235331071.89,7.48,-7.84,-2.41,5.22,qfq,stock_zh_a_hist
2026-01-14,001316,28.33,28.2,28.87,27.79,36851,147996880.68,3.81,-0.49,-0.14,3.31,qfq,stock_zh_a_hist
2026-01-15,001316,28.19,27.8,28.19,27.07,23948,93250702.68,3.97,-1.42,-0.4,2.15,qfq,stock_zh_a_hist
2026-01-16,001316,27.94,28.07,28.19,27.17,29797,116780693.2,3.67,0.97,0.27,2.68,qfq,stock_zh_a_hist
2026-01-19,001316,28.62,29.78,30.8,27.96,61791,256658959.2,10.12,6.09,1.71,5.55,qfq,stock_zh_a_hist
2026-01-20,001316,29.4,30.26,31.47,29.4,60765,262458323.0,6.95,1.61,0.48,5.46,qfq,stock_zh_a_hist
2026-01-21,001316,30.26,30.97,32.19,29.82,52749,231981992.4,7.83,2.35,0.71,4.74,qfq,stock_zh_a_hist
2026-01-22,001316,30.97,34.1,34.1,30.52,40907,190124497.58,11.56,10.11,3.13,3.68,qfq,stock_zh_a_hist
2026-01-23,001316,36.85,37.55,37.55,34.69,73667,374524707.99,8.39,10.12,3.45,6.62,qfq,stock_zh_a_hist
2026-01-26,001316,37.53,33.76,37.9,33.76,88036,432985932.35,11.03,-10.09,-3.79,7.91,qfq,stock_zh_a_hist
2026-01-27,001316,32.8,36.33,37.15,32.22,97719,472886314.4,14.6,7.61,2.57,8.78,qfq,stock_zh_a_hist
2026-01-28,001316,35.77,33.72,36.12,33.22,74653,359683796.8,7.98,-7.18,-2.61,6.71,qfq,stock_zh_a_hist
2026-01-29,001316,36.12,37.12,37.12,35.13,50898,261576632.4,5.9,10.08,3.4,4.57,qfq,stock_zh_a_hist
2026-01-30,001316,37.12,36.13,37.4,35.47,82228,422056786.91,5.2,-2.67,-0.99,7.39,qfq,stock_zh_a_hist
2026-02-02,001316,35.83,36.27,37.55,35.4,57037,291905902.32,5.95,0.39,0.14,5.12,qfq,stock_zh_a_hist
2026-02-03,001316,36.37,39.92,39.92,35.56,53353,288291759.23,12.02,10.06,3.65,4.79,qfq,stock_zh_a_hist
2026-02-04,001316,42.55,42.75,43.95,41.57,125026,760565816.37,5.96,7.09,2.83,11.23,qfq,stock_zh_a_hist
2026-02-05,001316,42.32,44.47,45.14,41.22,107305,661089132.12,9.17,4.02,1.72,9.64,qfq,stock_zh_a_hist
2026-02-06,001316,42.91,42.09,44.45,41.92,81306,492880503.58,5.69,-5.35,-2.38,7.31,qfq,stock_zh_a_hist
2026-02-09,001316,42.16,41.97,43.26,40.72,62701,369496171.69,6.03,-0.29,-0.12,5.63,qfq,stock_zh_a_hist
2026-02-10,001316,41.69,40.29,41.75,38.69,68827,392012326.36,7.29,-4.0,-1.68,6.18,qfq,stock_zh_a_hist
2026-02-11,001316,38.97,37.75,39.05,37.09,62408,335771589.6,4.86,-6.3,-2.54,5.61,qfq,stock_zh_a_hist
2026-02-12,001316,37.55,37.15,38.08,36.83,41586,219175989.0,3.31,-1.59,-0.6,3.74,qfq,stock_zh_a_hist
2026-02-13,001316,36.97,36.72,37.89,36.55,35443,185778915.6,3.61,-1.16,-0.43,3.18,qfq,stock_zh_a_hist
2026-02-24,001316,37.42,36.36,37.5,36.12,31099,160841545.8,3.76,-0.98,-0.36,2.79,qfq,stock_zh_a_hist
2026-02-25,001316,36.33,36.1,36.41,35.76,29018,147582942.6,1.79,-0.72,-0.26,2.61,qfq,stock_zh_a_hist
2026-02-26,001316,36.12,36.29,36.4,35.25,36006,183297422.99,3.19,0.53,0.19,3.24,qfq,stock_zh_a_hist
2026-02-27,001316,36.07,36.14,37.03,35.85,33204,170714453.23,3.25,-0.41,-0.15,2.98,qfq,stock_zh_a_hist
2026-03-02,001316,36.47,35.72,36.71,35.65,48982,250146982.6,2.93,-1.16,-0.42,4.4,qfq,stock_zh_a_hist
2026-03-03,001316,35.73,33.77,36.09,33.57,46929,230257422.92,7.05,-5.46,-1.95,4.22,qfq,stock_zh_a_hist
2026-03-04,001316,33.53,36.26,36.47,33.52,56089,278652380.38,8.74,7.37,2.49,5.04,qfq,stock_zh_a_hist
2026-03-05,001316,36.46,35.83,36.53,34.99,43398,217101133.6,4.25,-1.19,-0.43,3.9,qfq,stock_zh_a_hist
2026-03-06,001316,35.59,36.32,37.19,35.26,46778,239718803.0,5.39,1.37,0.49,4.2,qfq,stock_zh_a_hist
2026-03-09,001316,36.4,36.26,37.17,35.84,37516,193629148.9,3.66,-0.17,-0.06,3.37,qfq,stock_zh_a_hist
2026-03-10,001316,35.9,36.83,37.25,35.85,26456,137047099.6,3.86,1.57,0.57,2.38,qfq,stock_zh_a_hist
2026-03-11,001316,36.51,35.7,37.07,35.44,27647,141121472.01,4.43,-3.07,-1.13,2.48,qfq,stock_zh_a_hist
2026-03-12,001316,35.72,34.81,35.88,34.69,20428,101262936.2,3.33,-2.49,-0.89,1.84,qfq,stock_zh_a_hist
2026-03-13,001316,34.8,34.05,34.95,33.98,14083,68411755.6,2.79,-2.18,-0.76,1.27,qfq,stock_zh_a_hist
2026-03-16,001316,34.14,34.3,34.44,33.44,13736,66003958.0,2.94,0.73,0.25,1.23,qfq,stock_zh_a_hist
2026-03-17,001316,34.33,33.45,34.62,33.27,10108,48448708.0,3.94,-2.48,-0.85,0.91,qfq,stock_zh_a_hist
2026-03-18,001316,33.54,33.98,34.07,33.35,11284,53833763.8,2.15,1.58,0.53,1.01,qfq,stock_zh_a_hist
2026-03-19,001316,33.72,32.62,33.83,32.33,15227,70914827.4,4.41,-4.0,-1.36,1.37,qfq,stock_zh_a_hist
2026-03-20,001316,32.9,31.82,33.46,31.77,13659,62481962.8,5.18,-2.45,-0.8,1.23,qfq,stock_zh_a_hist
2026-03-23,001316,31.6,29.55,31.6,29.3,22999,98924264.8,7.23,-7.13,-2.27,2.07,qfq,stock_zh_a_hist
2026-03-24,001316,30.11,30.58,30.83,29.77,25758,110494976.6,3.59,3.49,1.03,2.31,qfq,stock_zh_a_hist
2026-03-25,001316,30.6,33.67,33.67,30.6,26313,121583055.53,10.04,10.1,3.09,2.36,qfq,stock_zh_a_hist
2026-03-26,001316,34.47,34.95,35.26,33.75,63938,312697887.84,4.48,3.8,1.28,5.75,qfq,stock_zh_a_hist
2026-03-27,001316,34.55,33.87,34.55,32.91,40476,192338547.3,4.69,-3.09,-1.08,3.64,qfq,stock_zh_a_hist
2026-03-30,001316,33.22,33.45,34.37,32.98,33144,157333525.0,4.1,-1.24,-0.42,2.98,qfq,stock_zh_a_hist
2026-03-31,001316,33.47,33.51,35.0,33.3,41516,200192531.29,5.08,0.18,0.06,3.73,qfq,stock_zh_a_hist
2026-04-01,001316,34.02,33.54,34.62,33.35,30021,143442577.15,3.79,0.09,0.03,2.7,qfq,stock_zh_a_hist
2026-04-02,001316,33.37,33.68,34.06,33.02,24643,117088373.96,3.1,0.42,0.14,2.21,qfq,stock_zh_a_hist
2026-04-03,001316,33.65,32.95,34.21,32.9,25395,120342602.2,3.89,-2.17,-0.73,2.28,qfq,stock_zh_a_hist
2026-04-07,001316,32.94,32.66,33.61,32.55,20599,96045511.2,3.22,-0.88,-0.29,1.85,qfq,stock_zh_a_hist
2026-04-08,001316,33.11,34.68,34.68,32.96,30747,148267786.95,5.27,6.18,2.02,2.76,qfq,stock_zh_a_hist
2026-04-09,001316,34.37,35.15,35.37,33.53,29898,146328052.9,5.31,1.36,0.47,2.69,qfq,stock_zh_a_hist
2026-04-10,001316,35.16,34.92,35.67,34.74,23566,117041526.28,2.65,-0.65,-0.23,2.12,qfq,stock_zh_a_hist
2026-04-13,001316,35.21,35.55,36.1,34.83,28361,142345794.0,3.64,1.8,0.63,2.55,qfq,stock_zh_a_hist
2026-04-14,001316,35.98,34.72,35.98,33.97,42263,206138688.28,5.65,-2.33,-0.83,3.8,qfq,stock_zh_a_hist
2026-04-15,001316,35.4,34.45,35.89,34.19,34803,172080204.56,4.9,-0.78,-0.27,3.13,qfq,stock_zh_a_hist
2026-04-16,001316,34.47,34.52,34.66,34.03,19372,94112553.24,1.83,0.2,0.07,1.74,qfq,stock_zh_a_hist
2026-04-17,001316,34.24,34.85,35.35,34.2,22638,111008807.0,3.33,0.96,0.33,2.03,qfq,stock_zh_a_hist
2026-04-20,001316,34.86,35.86,36.04,34.76,35059,176150924.8,3.67,2.9,1.01,3.15,qfq,stock_zh_a_hist
2026-04-21,001316,35.76,35.88,36.19,35.24,27359,137984862.62,2.65,0.06,0.02,2.46,qfq,stock_zh_a_hist
2026-04-22,001316,35.71,36.64,37.4,35.55,39924,206737310.42,5.16,2.12,0.76,3.59,qfq,stock_zh_a_hist
2026-04-23,001316,36.46,35.54,36.74,35.28,25996,131446765.32,3.98,-3.0,-1.1,2.34,qfq,stock_zh_a_hist
2026-04-24,001316,35.52,35.25,36.12,34.78,17621,87917969.84,3.77,-0.82,-0.29,1.58,qfq,stock_zh_a_hist
2026-04-27,001316,35.32,34.62,35.46,33.97,24220,117763145.36,4.23,-1.79,-0.63,2.18,qfq,stock_zh_a_hist
2026-04-28,001316,34.68,33.49,34.75,33.05,24295,115001525.96,4.91,-3.26,-1.13,2.18,qfq,stock_zh_a_hist
2026-04-29,001316,33.3,33.39,33.89,33.2,19403,91759844.8,2.06,-0.3,-0.1,1.74,qfq,stock_zh_a_hist
2026-04-30,001316,36.12,36.76,36.76,35.82,27628,142763938.0,2.82,10.09,3.37,2.48,qfq,stock_zh_a_hist
2026-05-06,001316,38.62,40.47,40.47,38.26,47264,265350395.26,6.01,10.09,3.71,4.25,qfq,stock_zh_a_hist
2026-05-07,001316,40.15,42.52,43.82,39.4,105563,617904458.82,10.92,5.07,2.05,9.49,qfq,stock_zh_a_hist
2026-05-08,001316,42.02,43.05,43.49,40.32,76762,451259067.58,7.46,1.25,0.53,6.9,qfq,stock_zh_a_hist
2026-05-11,001316,43.07,44.23,45.1,42.3,68669,423434102.14,6.5,2.74,1.18,6.17,qfq,stock_zh_a_hist
2026-05-12,001316,43.82,42.15,44.15,41.97,49154,295980818.96,4.93,-4.7,-2.08,4.42,qfq,stock_zh_a_hist
2026-05-13,001316,42.54,43.56,44.46,42.06,60427,369048038.7,5.69,3.35,1.41,5.63,qfq,stock_zh_a_hist
2026-05-14,001316,43.42,42.27,44.77,42.27,36209,219005596.6,5.74,-2.96,-1.29,3.37,qfq,stock_zh_a_hist
2026-05-15,001316,42.27,41.85,42.33,40.6,35841,208917581.8,4.09,-0.99,-0.42,3.34,qfq,stock_zh_a_hist
2026-05-18,001316,41.9,41.15,42.02,40.3,31207,179719637.6,4.11,-1.67,-0.7,2.91,qfq,stock_zh_a_hist
2026-05-19,001316,41.1,40.97,41.12,39.47,27427,156092841.4,4.01,-0.44,-0.18,2.56,qfq,stock_zh_a_hist
2026-05-20,001316,40.8,43.02,43.38,40.4,61833,262612467.7,7.27,5.0,2.05,4.12,qfq,stock_zh_a_hist
2026-05-21,001316,43.23,41.49,44.2,41.35,52717,225583943.09,6.62,-3.56,-1.53,3.51,qfq,stock_zh_a_hist
2026-05-22,001316,41.46,41.53,42.5,40.86,35622,147624608.64,3.95,0.1,0.04,2.37,qfq,stock_zh_a_hist
2026-05-25,001316,41.25,41.3,41.83,40.1,32914,134822494.24,4.17,-0.55,-0.23,2.19,qfq,stock_zh_a_hist
2026-05-26,001316,41.28,38.44,41.28,37.69,57254,221833245.96,8.69,-6.92,-2.86,3.81,qfq,stock_zh_a_hist
2026-05-27,001316,38.38,37.69,39.16,37.26,38666,147790392.34,4.94,-1.95,-0.75,2.57,qfq,stock_zh_a_hist
2026-05-28,001316,37.51,38.5,39.01,36.94,30160,114479203.0,5.49,2.15,0.81,2.01,qfq,stock_zh_a_hist
2026-05-29,001316,38.56,36.71,38.56,36.45,33340,124424272.19,5.48,-4.65,-1.79,2.22,qfq,stock_zh_a_hist
