date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,600605,29.88,29.69,30.33,29.48,24283,72426444.0,2.84,-0.9,-0.27,1.18,qfq,stock_zh_a_hist
2026-01-06,600605,29.95,30.07,30.5,29.5,21115,63476079.0,3.37,1.28,0.38,1.02,qfq,stock_zh_a_hist
2026-01-07,600605,29.94,30.06,30.43,29.79,21224,63959533.0,2.13,-0.03,-0.01,1.03,qfq,stock_zh_a_hist
2026-01-08,600605,29.99,30.14,30.4,29.77,18103,54686014.0,2.1,0.27,0.08,0.88,qfq,stock_zh_a_hist
2026-01-09,600605,30.09,30.59,30.96,30.07,24499,74917751.0,2.95,1.49,0.45,1.19,qfq,stock_zh_a_hist
2026-01-12,600605,30.81,29.99,30.81,29.76,33164,99703240.0,3.43,-1.96,-0.6,1.61,qfq,stock_zh_a_hist
2026-01-13,600605,29.99,30.13,30.71,29.87,33231,100562765.0,2.8,0.47,0.14,1.61,qfq,stock_zh_a_hist
2026-01-14,600605,30.06,29.53,30.83,29.34,49774,149881049.0,4.95,-1.99,-0.6,2.41,qfq,stock_zh_a_hist
2026-01-15,600605,29.31,29.49,29.73,28.97,26559,77822823.0,2.57,-0.14,-0.04,1.29,qfq,stock_zh_a_hist
2026-01-16,600605,29.49,28.41,29.55,28.26,40315,116052621.0,4.37,-3.66,-1.08,1.95,qfq,stock_zh_a_hist
2026-01-19,600605,28.64,28.61,28.87,28.37,18273,52282924.0,1.76,0.7,0.2,0.89,qfq,stock_zh_a_hist
2026-01-20,600605,28.86,30.04,31.16,28.69,80063,243720135.0,8.63,5.0,1.43,3.88,qfq,stock_zh_a_hist
2026-01-21,600605,29.74,29.98,30.56,29.54,27487,82678829.0,3.4,-0.2,-0.06,1.33,qfq,stock_zh_a_hist
2026-01-22,600605,29.88,29.64,30.12,29.44,18602,55315666.0,2.27,-1.13,-0.34,0.9,qfq,stock_zh_a_hist
2026-01-23,600605,29.66,29.11,29.73,28.96,25737,75205042.0,2.6,-1.79,-0.53,1.25,qfq,stock_zh_a_hist
2026-01-26,600605,28.96,29.28,29.35,28.48,27718,80159679.0,2.99,0.58,0.17,1.34,qfq,stock_zh_a_hist
2026-01-27,600605,29.06,28.63,29.18,28.46,19275,55317807.0,2.46,-2.22,-0.65,0.93,qfq,stock_zh_a_hist
