date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,002864,30.96,31.66,31.66,30.85,30337,95328871.73,2.63,2.66,0.82,4.12,qfq,stock_zh_a_hist
2026-01-06,002864,31.6,31.7,31.88,31.53,29943,94906226.0,1.11,0.13,0.04,4.06,qfq,stock_zh_a_hist
2026-01-07,002864,31.7,34.87,34.87,31.68,105633,356332419.18,10.06,10.0,3.17,14.34,qfq,stock_zh_a_hist
2026-01-08,002864,36.05,34.32,36.86,34.19,149009,523823281.93,7.66,-1.58,-0.55,20.22,qfq,stock_zh_a_hist
2026-01-09,002864,34.3,34.37,34.97,33.86,82177,281704623.73,3.23,0.15,0.05,11.15,qfq,stock_zh_a_hist
2026-01-12,002864,34.41,34.21,34.72,33.98,60250,205944367.73,2.15,-0.47,-0.16,8.18,qfq,stock_zh_a_hist
2026-01-13,002864,34.18,35.1,36.19,34.0,138674,490578604.38,6.4,2.6,0.89,18.82,qfq,stock_zh_a_hist
2026-01-14,002864,35.11,36.02,36.66,34.73,142250,509808928.49,5.5,2.62,0.92,19.31,qfq,stock_zh_a_hist
2026-01-15,002864,36.02,35.93,37.44,35.19,100134,363327577.3,6.25,-0.25,-0.09,13.59,qfq,stock_zh_a_hist
2026-01-16,002864,35.56,36.6,37.22,34.88,82711,297258129.62,6.51,1.86,0.67,11.22,qfq,stock_zh_a_hist
2026-01-19,002864,36.5,37.57,38.95,36.22,89899,336992732.62,7.46,2.65,0.97,12.2,qfq,stock_zh_a_hist
2026-01-20,002864,37.2,36.2,37.43,35.9,66514,243105623.61,4.07,-3.65,-1.37,9.03,qfq,stock_zh_a_hist
2026-01-21,002864,35.9,36.1,36.26,35.62,41641,149677071.78,1.77,-0.28,-0.1,5.65,qfq,stock_zh_a_hist
2026-01-22,002864,36.03,37.3,37.76,35.86,80610,299641320.62,5.26,3.32,1.2,10.94,qfq,stock_zh_a_hist
2026-01-23,002864,37.08,37.11,37.97,36.88,50374,187400356.27,2.92,-0.51,-0.19,6.84,qfq,stock_zh_a_hist
2026-01-26,002864,36.99,37.11,37.75,36.72,62306,232568900.73,2.78,0.0,0.0,8.46,qfq,stock_zh_a_hist
2026-01-27,002864,36.92,36.05,37.0,35.39,58127,208719100.36,4.34,-2.86,-1.06,7.89,qfq,stock_zh_a_hist
2026-01-28,002864,35.69,34.79,36.05,34.7,49688,174430637.59,3.74,-3.5,-1.26,6.74,qfq,stock_zh_a_hist
2026-01-29,002864,34.77,34.63,35.26,34.11,34926,121383076.1,3.31,-0.46,-0.16,4.74,qfq,stock_zh_a_hist
2026-01-30,002864,34.63,36.05,36.8,34.6,72689,260890931.28,6.35,4.1,1.42,9.86,qfq,stock_zh_a_hist
2026-02-02,002864,36.02,35.25,36.41,35.16,39569,141720219.25,3.47,-2.22,-0.8,5.37,qfq,stock_zh_a_hist
2026-02-03,002864,35.5,35.35,36.0,34.96,28558,100808400.04,2.95,0.28,0.1,3.88,qfq,stock_zh_a_hist
2026-02-04,002864,35.13,35.38,35.38,34.58,26443,92717044.0,2.26,0.08,0.03,3.59,qfq,stock_zh_a_hist
2026-02-05,002864,35.41,36.46,36.9,35.23,74103,269321312.41,4.72,3.05,1.08,10.06,qfq,stock_zh_a_hist
2026-02-06,002864,40.11,37.25,40.11,37.18,195157,755021931.11,8.04,2.17,0.79,26.49,qfq,stock_zh_a_hist
2026-02-09,002864,36.5,36.71,37.45,36.21,117820,431856019.38,3.33,-1.45,-0.54,15.99,qfq,stock_zh_a_hist
2026-02-10,002864,36.45,37.32,38.64,36.24,102334,385780841.86,6.54,1.66,0.61,13.89,qfq,stock_zh_a_hist
2026-02-11,002864,37.01,35.88,37.2,35.87,70410,256069160.1,3.56,-3.86,-1.44,9.56,qfq,stock_zh_a_hist
2026-02-12,002864,35.9,36.36,36.98,35.68,62480,227471596.0,3.62,1.34,0.48,8.48,qfq,stock_zh_a_hist
2026-02-13,002864,36.91,37.53,38.82,36.46,92697,351059417.48,6.49,3.22,1.17,12.58,qfq,stock_zh_a_hist
