date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,000042,7.62,7.74,7.9,7.62,57729,44977773.02,3.67,1.57,0.12,0.87,qfq,stock_zh_a_hist
2026-01-06,000042,7.73,7.78,7.85,7.71,34919,27224182.0,1.81,0.52,0.04,0.53,qfq,stock_zh_a_hist
2026-01-07,000042,7.76,8.03,8.19,7.76,65249,52287718.94,5.53,3.21,0.25,0.98,qfq,stock_zh_a_hist
2026-01-08,000042,7.97,8.26,8.28,7.84,95285,77545992.42,5.48,2.86,0.23,1.43,qfq,stock_zh_a_hist
2026-01-09,000042,8.28,8.58,8.82,8.2,134400,115941418.81,7.51,3.87,0.32,2.02,qfq,stock_zh_a_hist
2026-01-12,000042,8.6,8.49,8.79,8.43,113446,97308198.6,4.2,-1.05,-0.09,1.71,qfq,stock_zh_a_hist
2026-01-13,000042,8.48,8.56,8.65,8.45,60103,51344342.0,2.36,0.82,0.07,0.91,qfq,stock_zh_a_hist
2026-01-14,000042,8.55,8.45,8.61,8.34,82601,70020180.42,3.15,-1.29,-0.11,1.24,qfq,stock_zh_a_hist
2026-01-15,000042,8.49,8.42,8.52,8.4,41724,35291546.44,1.42,-0.36,-0.03,0.63,qfq,stock_zh_a_hist
2026-01-16,000042,8.48,8.32,8.48,8.3,42238,35257684.08,2.14,-1.19,-0.1,0.64,qfq,stock_zh_a_hist
2026-01-19,000042,8.31,8.28,8.35,8.21,36683,30356774.0,1.68,-0.48,-0.04,0.55,qfq,stock_zh_a_hist
2026-01-20,000042,8.28,8.25,8.37,8.22,51178,42439352.19,1.81,-0.36,-0.03,0.77,qfq,stock_zh_a_hist
2026-01-21,000042,8.24,8.29,8.45,8.18,52820,43893562.0,3.27,0.48,0.04,0.8,qfq,stock_zh_a_hist
2026-01-22,000042,8.32,8.13,8.32,8.09,61854,50656200.0,2.77,-1.93,-0.16,0.93,qfq,stock_zh_a_hist
2026-01-23,000042,8.14,8.09,8.16,8.06,57090,46255781.2,1.23,-0.49,-0.04,0.86,qfq,stock_zh_a_hist
2026-01-26,000042,8.1,8.07,8.1,7.98,53141,42657000.0,1.48,-0.25,-0.02,0.8,qfq,stock_zh_a_hist
2026-01-27,000042,8.06,8.04,8.2,7.93,99599,80099401.32,3.35,-0.37,-0.03,1.5,qfq,stock_zh_a_hist
2026-01-28,000042,8.09,8.44,8.65,8.07,168250,141624595.0,7.21,4.98,0.4,2.53,qfq,stock_zh_a_hist
2026-01-29,000042,8.41,8.21,8.67,8.15,189016,157280854.12,6.16,-2.73,-0.23,2.85,qfq,stock_zh_a_hist
2026-01-30,000042,8.21,8.37,8.45,8.2,101425,84844225.0,3.05,1.95,0.16,1.53,qfq,stock_zh_a_hist
2026-02-02,000042,8.23,8.22,8.42,8.17,80260,66563006.92,2.99,-1.79,-0.15,1.21,qfq,stock_zh_a_hist
2026-02-03,000042,8.29,8.34,8.4,8.16,72437,59772439.53,2.92,1.46,0.12,1.09,qfq,stock_zh_a_hist
2026-02-04,000042,8.31,9.0,9.0,8.23,166450,144641013.18,9.23,7.91,0.66,2.51,qfq,stock_zh_a_hist
2026-02-05,000042,9.01,8.98,9.11,8.92,86795,78147250.56,2.11,-0.22,-0.02,1.31,qfq,stock_zh_a_hist
2026-02-06,000042,9.0,9.16,9.22,8.91,93607,85182616.82,3.45,2.0,0.18,1.41,qfq,stock_zh_a_hist
2026-02-09,000042,9.23,9.22,9.26,8.92,98491,89627571.0,3.71,0.66,0.06,1.48,qfq,stock_zh_a_hist
2026-02-10,000042,9.3,9.29,9.42,9.23,74720,69738220.66,2.06,0.76,0.07,1.13,qfq,stock_zh_a_hist
2026-02-11,000042,9.29,9.44,9.61,9.24,78330,74243762.0,3.98,1.61,0.15,1.18,qfq,stock_zh_a_hist
2026-02-12,000042,9.52,9.15,9.54,9.12,113026,104577334.12,4.45,-3.07,-0.29,1.7,qfq,stock_zh_a_hist
2026-02-13,000042,9.22,9.18,9.32,9.15,54196,49924823.08,1.86,0.33,0.03,0.82,qfq,stock_zh_a_hist
2026-02-24,000042,9.25,9.02,9.25,9.0,67328,61133292.0,2.72,-1.74,-0.16,1.01,qfq,stock_zh_a_hist
2026-02-25,000042,9.06,9.07,9.15,9.01,46372,42110176.48,1.55,0.55,0.05,0.7,qfq,stock_zh_a_hist
2026-02-26,000042,9.12,9.0,9.12,8.98,49414,44572347.88,1.54,-0.77,-0.07,0.74,qfq,stock_zh_a_hist
