date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,300950,22.62,23.18,23.33,22.58,41008,95364581.0,3.31,2.29,0.52,4.51,qfq,stock_zh_a_hist
2026-01-06,300950,23.12,23.24,23.42,23.05,41358,96951079.0,1.6,0.26,0.06,4.55,qfq,stock_zh_a_hist
2026-01-07,300950,23.25,23.51,23.86,23.24,61614,146462191.0,2.67,1.16,0.27,6.78,qfq,stock_zh_a_hist
2026-01-08,300950,23.44,24.26,24.48,23.4,92365,225690409.0,4.59,3.19,0.75,10.17,qfq,stock_zh_a_hist
2026-01-09,300950,24.33,24.63,24.9,24.19,88028,217509737.0,2.93,1.53,0.37,9.69,qfq,stock_zh_a_hist
2026-01-12,300950,24.8,24.55,24.9,24.26,74191,183153908.0,2.6,-0.32,-0.08,8.17,qfq,stock_zh_a_hist
2026-01-13,300950,24.55,24.07,24.88,23.9,68951,169373606.0,3.99,-1.96,-0.48,7.59,qfq,stock_zh_a_hist
2026-01-14,300950,24.03,24.22,24.58,23.74,66200,161363640.0,3.49,0.62,0.15,7.29,qfq,stock_zh_a_hist
2026-01-15,300950,23.95,23.93,24.24,23.77,35139,84865746.0,1.94,-1.2,-0.29,3.87,qfq,stock_zh_a_hist
2026-01-16,300950,23.98,25.31,26.18,23.8,145179,368405562.0,9.95,5.77,1.38,15.98,qfq,stock_zh_a_hist
2026-01-19,300950,25.26,24.91,25.55,24.82,74573,187889457.0,2.88,-1.58,-0.4,8.21,qfq,stock_zh_a_hist
2026-01-20,300950,24.88,26.25,27.07,24.81,147024,389719099.0,9.07,5.38,1.34,16.18,qfq,stock_zh_a_hist
2026-01-21,300950,26.13,27.08,27.5,25.8,134947,362943409.0,6.48,3.16,0.83,14.85,qfq,stock_zh_a_hist
2026-01-22,300950,26.8,26.65,26.81,26.13,84115,224370725.0,2.51,-1.59,-0.43,9.26,qfq,stock_zh_a_hist
2026-01-23,300950,26.41,26.49,26.78,26.32,59906,159647060.0,1.73,-0.6,-0.16,6.59,qfq,stock_zh_a_hist
2026-01-26,300950,26.33,25.25,26.48,25.2,61539,158579368.0,4.83,-4.68,-1.24,6.77,qfq,stock_zh_a_hist
2026-01-27,300950,25.04,24.83,25.31,24.0,54445,135136892.0,5.19,-1.66,-0.42,5.99,qfq,stock_zh_a_hist
2026-01-28,300950,24.94,24.05,24.94,24.0,50004,122134082.0,3.79,-3.14,-0.78,5.5,qfq,stock_zh_a_hist
2026-01-29,300950,24.06,24.31,25.44,24.05,54159,134678992.0,5.78,1.08,0.26,5.96,qfq,stock_zh_a_hist
2026-01-30,300950,24.1,24.08,24.28,23.3,40308,96652576.0,4.03,-0.95,-0.23,4.44,qfq,stock_zh_a_hist
2026-02-02,300950,24.1,23.61,24.2,23.6,24140,58252618.0,2.49,-1.95,-0.47,2.66,qfq,stock_zh_a_hist
2026-02-03,300950,23.98,24.35,24.35,23.77,26142,63634840.0,2.46,3.13,0.74,2.88,qfq,stock_zh_a_hist
2026-02-04,300950,24.38,24.8,25.57,24.16,50288,126384755.0,5.79,1.85,0.45,5.53,qfq,stock_zh_a_hist
2026-02-05,300950,24.64,24.29,24.71,24.17,29009,71362852.0,2.18,-2.06,-0.51,3.19,qfq,stock_zh_a_hist
2026-02-06,300950,24.04,24.46,24.85,23.96,32498,80570891.0,3.66,0.7,0.17,3.58,qfq,stock_zh_a_hist
2026-02-09,300950,24.7,24.89,24.95,24.5,31924,79703910.0,1.84,1.76,0.43,3.51,qfq,stock_zh_a_hist
2026-02-10,300950,24.88,24.45,25.05,24.43,23789,59030405.0,2.49,-1.77,-0.44,2.62,qfq,stock_zh_a_hist
2026-02-11,300950,24.6,24.39,24.6,24.33,14226,35029260.0,1.1,-0.25,-0.06,1.57,qfq,stock_zh_a_hist
2026-02-12,300950,24.47,24.23,24.69,24.22,25410,62625255.0,1.93,-0.66,-0.16,2.8,qfq,stock_zh_a_hist
2026-02-13,300950,24.14,24.05,24.57,24.04,20783,50954915.0,2.19,-0.74,-0.18,2.29,qfq,stock_zh_a_hist
2026-02-24,300950,24.06,24.3,24.45,24.06,18610,45577060.0,1.62,1.04,0.25,2.05,qfq,stock_zh_a_hist
2026-02-25,300950,24.3,24.59,24.66,24.14,22996,56703627.0,2.14,1.19,0.29,2.53,qfq,stock_zh_a_hist
2026-02-26,300950,24.68,24.55,24.68,24.36,17785,43921770.0,1.3,-0.16,-0.04,1.96,qfq,stock_zh_a_hist
2026-02-27,300950,24.47,24.59,24.6,24.27,18965,46716248.0,1.34,0.16,0.04,2.09,qfq,stock_zh_a_hist
2026-03-02,300950,24.1,23.43,24.39,23.35,36396,86909282.0,4.23,-4.72,-1.16,4.01,qfq,stock_zh_a_hist
2026-03-03,300950,23.4,22.74,23.77,22.66,30942,72191325.0,4.74,-2.94,-0.69,3.41,qfq,stock_zh_a_hist
2026-03-04,300950,22.24,22.68,23.1,22.24,18590,42641068.0,3.78,-0.26,-0.06,2.05,qfq,stock_zh_a_hist
2026-03-05,300950,23.27,22.83,23.45,22.78,20932,48796476.0,2.95,0.66,0.15,2.3,qfq,stock_zh_a_hist
2026-03-06,300950,22.88,23.5,23.54,22.68,23993,56393428.0,3.77,2.93,0.67,2.64,qfq,stock_zh_a_hist
2026-03-09,300950,23.5,23.22,23.68,22.98,23541,55095020.0,2.98,-1.19,-0.28,2.59,qfq,stock_zh_a_hist
2026-03-10,300950,23.6,23.7,23.85,23.43,24232,57810564.0,1.81,2.07,0.48,2.67,qfq,stock_zh_a_hist
2026-03-11,300950,23.71,23.35,23.83,23.25,21423,50704746.0,2.45,-1.48,-0.35,2.36,qfq,stock_zh_a_hist
2026-03-12,300950,23.46,22.69,23.46,22.66,23320,53889617.0,3.43,-2.83,-0.66,2.57,qfq,stock_zh_a_hist
2026-03-13,300950,22.84,22.69,23.28,22.54,23337,53792139.0,3.26,0.0,0.0,2.57,qfq,stock_zh_a_hist
2026-03-16,300950,22.75,22.58,22.82,22.2,20826,47228920.0,2.73,-0.48,-0.11,2.29,qfq,stock_zh_a_hist
2026-03-17,300950,22.69,22.0,22.73,21.95,20191,45393963.0,3.45,-2.57,-0.58,2.22,qfq,stock_zh_a_hist
2026-03-18,300950,22.1,22.41,22.41,21.82,18626,41572998.0,2.68,1.86,0.41,2.05,qfq,stock_zh_a_hist
2026-03-19,300950,22.15,21.67,22.31,21.57,20274,44729328.0,3.3,-3.3,-0.74,2.23,qfq,stock_zh_a_hist
2026-03-20,300950,21.6,21.04,22.05,21.02,22624,48816900.0,4.75,-2.91,-0.63,2.49,qfq,stock_zh_a_hist
2026-03-23,300950,20.8,19.8,20.9,19.67,29476,60470280.0,5.85,-5.89,-1.24,3.24,qfq,stock_zh_a_hist
2026-03-24,300950,20.3,20.99,21.01,20.05,34261,70979322.0,4.85,6.01,1.19,3.77,qfq,stock_zh_a_hist
2026-03-25,300950,21.03,21.24,21.42,21.03,17169,36804772.0,1.86,1.19,0.25,1.89,qfq,stock_zh_a_hist
2026-03-26,300950,21.3,20.88,21.39,20.64,14881,31456545.0,3.53,-1.69,-0.36,1.64,qfq,stock_zh_a_hist
2026-03-27,300950,20.73,21.12,21.13,20.47,13367,28272811.0,3.16,1.15,0.24,1.47,qfq,stock_zh_a_hist
2026-03-30,300950,20.8,21.1,21.18,20.76,14938,31584433.0,1.99,-0.09,-0.02,1.64,qfq,stock_zh_a_hist
2026-03-31,300950,21.29,20.83,21.45,20.76,18380,39212214.0,3.27,-1.28,-0.27,2.02,qfq,stock_zh_a_hist
2026-04-01,300950,21.23,21.15,21.28,20.9,16660,35428488.0,1.82,1.54,0.32,1.83,qfq,stock_zh_a_hist
2026-04-02,300950,21.01,20.87,21.24,20.58,17566,37018835.0,3.12,-1.32,-0.28,1.93,qfq,stock_zh_a_hist
2026-04-03,300950,20.92,20.33,21.16,20.22,11541,23829556.0,4.5,-2.59,-0.54,1.27,qfq,stock_zh_a_hist
2026-04-07,300950,20.46,20.94,21.05,20.11,20814,43806824.0,4.62,3.0,0.61,2.29,qfq,stock_zh_a_hist
2026-04-08,300950,21.46,21.57,21.57,21.12,20327,43892390.0,2.15,3.01,0.63,2.24,qfq,stock_zh_a_hist
2026-04-09,300950,21.5,21.02,21.5,20.95,16808,35888289.0,2.55,-2.55,-0.55,1.85,qfq,stock_zh_a_hist
2026-04-10,300950,21.12,21.47,21.64,21.12,16263,35259461.0,2.47,2.14,0.45,1.79,qfq,stock_zh_a_hist
2026-04-13,300950,21.44,21.25,21.44,21.2,14394,30937758.0,1.12,-1.02,-0.22,1.58,qfq,stock_zh_a_hist
2026-04-14,300950,21.46,21.38,21.48,21.1,16869,36197460.0,1.79,0.61,0.13,1.86,qfq,stock_zh_a_hist
2026-04-15,300950,21.48,21.17,21.58,21.12,15602,33512395.0,2.15,-0.98,-0.21,1.72,qfq,stock_zh_a_hist
2026-04-16,300950,21.35,21.54,21.66,21.01,18249,39417484.0,3.07,1.75,0.37,2.01,qfq,stock_zh_a_hist
2026-04-17,300950,21.61,21.51,21.68,21.39,15464,33559486.0,1.35,-0.14,-0.03,1.7,qfq,stock_zh_a_hist
2026-04-20,300950,21.61,21.62,21.78,21.32,17948,39134359.0,2.14,0.51,0.11,1.98,qfq,stock_zh_a_hist
2026-04-21,300950,21.62,21.46,21.62,21.32,14717,31843287.0,1.39,-0.74,-0.16,1.62,qfq,stock_zh_a_hist
2026-04-22,300950,21.5,21.7,22.16,21.3,30865,67554881.0,4.01,1.12,0.24,3.4,qfq,stock_zh_a_hist
2026-04-23,300950,21.63,21.52,21.93,21.4,26789,58454681.0,2.44,-0.83,-0.18,2.95,qfq,stock_zh_a_hist
2026-04-24,300950,21.4,21.38,21.58,21.12,16919,36406228.0,2.14,-0.65,-0.14,1.86,qfq,stock_zh_a_hist
2026-04-27,300950,20.94,21.5,21.58,19.56,53197,110455487.0,9.45,0.56,0.12,5.85,qfq,stock_zh_a_hist
2026-04-28,300950,21.44,21.05,21.45,20.75,30306,64379005.0,3.26,-2.09,-0.45,3.34,qfq,stock_zh_a_hist
2026-04-29,300950,20.88,21.47,21.66,20.83,28519,61419610.0,3.94,2.0,0.42,3.14,qfq,stock_zh_a_hist
2026-04-30,300950,21.7,21.56,21.84,21.37,21783,47387338.0,2.19,0.42,0.09,2.4,qfq,stock_zh_a_hist
