date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,002009,23.18,22.21,24.0,21.63,1145909,2585542181.73,10.48,-1.81,-0.41,32.37,qfq,stock_zh_a_hist
2026-01-06,002009,21.37,20.91,22.09,20.76,1059453,2244442867.46,5.99,-5.85,-1.3,29.92,qfq,stock_zh_a_hist
2026-01-07,002009,20.92,21.73,23.0,20.92,1079384,2383376739.69,9.95,3.92,0.82,30.49,qfq,stock_zh_a_hist
2026-01-08,002009,22.34,21.81,22.88,21.81,864775,1922269779.47,4.92,0.37,0.08,24.43,qfq,stock_zh_a_hist
2026-01-09,002009,21.78,22.3,23.24,21.78,872573,1959525036.21,6.69,2.25,0.49,24.65,qfq,stock_zh_a_hist
2026-01-12,002009,22.3,23.01,23.33,22.02,988376,2239762786.66,5.87,3.18,0.71,27.92,qfq,stock_zh_a_hist
2026-01-13,002009,22.74,21.67,22.9,21.5,663059,1465548346.45,6.08,-5.82,-1.34,18.73,qfq,stock_zh_a_hist
2026-01-14,002009,21.68,21.84,23.4,21.56,685419,1542468359.77,8.49,0.78,0.17,19.36,qfq,stock_zh_a_hist
2026-01-15,002009,21.8,21.44,23.15,21.16,507419,1110357697.22,9.11,-1.83,-0.4,14.33,qfq,stock_zh_a_hist
2026-01-16,002009,21.15,21.21,21.91,20.68,598645,1271950422.34,5.74,-1.07,-0.23,16.91,qfq,stock_zh_a_hist
2026-01-19,002009,21.8,22.68,23.28,21.75,770672,1738342991.09,7.21,6.93,1.47,21.77,qfq,stock_zh_a_hist
2026-01-20,002009,22.48,22.33,23.1,21.76,495380,1099624874.26,5.91,-1.54,-0.35,13.99,qfq,stock_zh_a_hist
2026-01-21,002009,22.02,23.04,23.18,21.8,711795,1618150594.18,6.18,3.18,0.71,20.1,qfq,stock_zh_a_hist
2026-01-22,002009,23.1,22.44,23.3,22.2,513987,1157727192.19,4.77,-2.6,-0.6,14.52,qfq,stock_zh_a_hist
2026-01-23,002009,22.21,23.74,24.68,21.85,898087,2085949486.33,12.61,5.79,1.3,25.37,qfq,stock_zh_a_hist
2026-01-26,002009,26.11,26.11,26.11,26.11,68509,178878043.4,0.0,9.98,2.37,1.94,qfq,stock_zh_a_hist
2026-01-27,002009,28.08,28.72,28.72,27.5,988872,2803257564.21,4.67,10.0,2.61,27.93,qfq,stock_zh_a_hist
