date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,002446,10.7,10.77,10.96,10.5,1366883,1467823222.22,4.39,2.67,0.28,16.12,qfq,stock_zh_a_hist
2026-01-06,002446,10.62,10.73,10.84,10.4,1076498,1143136551.03,4.09,-0.37,-0.04,12.7,qfq,stock_zh_a_hist
2026-01-07,002446,10.71,11.0,11.08,10.56,1272803,1386659158.58,4.85,2.52,0.27,15.01,qfq,stock_zh_a_hist
2026-01-08,002446,10.89,11.38,11.44,10.67,1670249,1846021325.07,7.0,3.45,0.38,19.7,qfq,stock_zh_a_hist
2026-01-09,002446,11.48,12.15,12.5,11.35,1815587,2167045530.41,10.11,6.77,0.77,21.42,qfq,stock_zh_a_hist
2026-01-12,002446,12.43,13.37,13.37,12.21,1526033,1952188985.58,9.55,10.04,1.22,18.0,qfq,stock_zh_a_hist
2026-01-13,002446,13.88,12.13,13.98,12.03,2206179,2776116066.81,14.58,-9.27,-1.24,26.02,qfq,stock_zh_a_hist
2026-01-14,002446,12.32,13.34,13.34,12.32,2508010,3298020902.69,8.41,9.98,1.21,29.58,qfq,stock_zh_a_hist
2026-01-15,002446,12.3,14.67,14.67,12.01,2945134,3944762435.21,19.94,9.97,1.33,34.74,qfq,stock_zh_a_hist
2026-01-16,002446,14.3,13.2,14.57,13.2,2490513,3392007886.71,9.34,-10.02,-1.47,29.38,qfq,stock_zh_a_hist
2026-01-19,002446,12.09,11.88,12.35,11.88,1834918,2194745879.36,3.56,-10.0,-1.32,21.64,qfq,stock_zh_a_hist
2026-01-20,002446,11.8,10.82,11.88,10.69,1839600,2038598371.93,10.02,-8.92,-1.06,21.7,qfq,stock_zh_a_hist
2026-01-21,002446,10.79,11.13,11.28,10.7,1116199,1230377448.56,5.36,2.87,0.31,13.17,qfq,stock_zh_a_hist
2026-01-22,002446,11.15,11.34,11.44,11.06,925221,1046389476.98,3.41,1.89,0.21,10.91,qfq,stock_zh_a_hist
2026-01-23,002446,11.4,12.01,12.07,11.35,1381582,1632643627.68,6.35,5.91,0.67,16.3,qfq,stock_zh_a_hist
2026-01-26,002446,11.91,11.33,12.05,11.13,1204514,1392726952.9,7.66,-5.66,-0.68,14.21,qfq,stock_zh_a_hist
2026-01-27,002446,11.4,12.46,12.46,11.33,1410118,1692008874.41,9.97,9.97,1.13,16.63,qfq,stock_zh_a_hist
2026-01-28,002446,12.38,12.3,12.7,12.03,1385600,1715941604.77,5.38,-1.28,-0.16,16.34,qfq,stock_zh_a_hist
2026-01-29,002446,12.29,12.0,12.46,11.86,1001342,1216623141.65,4.88,-2.44,-0.3,11.81,qfq,stock_zh_a_hist
2026-01-30,002446,11.96,12.03,12.27,11.66,1071574,1285200401.48,5.08,0.25,0.03,12.64,qfq,stock_zh_a_hist
2026-02-02,002446,11.97,11.6,12.29,11.6,851194,1014550809.45,5.74,-3.57,-0.43,10.04,qfq,stock_zh_a_hist
2026-02-03,002446,11.86,12.03,12.03,11.58,774650,921776190.32,3.88,3.71,0.43,9.14,qfq,stock_zh_a_hist
2026-02-04,002446,12.04,12.04,12.24,11.8,702088,844828842.6,3.66,0.08,0.01,8.28,qfq,stock_zh_a_hist
2026-02-05,002446,11.8,11.66,11.95,11.54,539687,631699647.22,3.41,-3.16,-0.38,6.37,qfq,stock_zh_a_hist
2026-02-06,002446,11.44,11.47,11.82,11.31,526629,608443289.75,4.37,-1.63,-0.19,6.21,qfq,stock_zh_a_hist
2026-02-09,002446,11.7,11.55,11.8,11.5,486165,564644213.29,2.62,0.7,0.08,5.73,qfq,stock_zh_a_hist
