date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,300021,4.61,4.62,4.64,4.6,142367,65739935.0,0.87,0.43,0.02,1.63,qfq,stock_zh_a_hist
2026-01-06,300021,4.62,4.67,4.69,4.61,168737,78628366.0,1.73,1.08,0.05,1.93,qfq,stock_zh_a_hist
2026-01-07,300021,4.65,4.64,4.67,4.62,142825,66247415.0,1.07,-0.64,-0.03,1.64,qfq,stock_zh_a_hist
2026-01-08,300021,4.66,4.71,4.71,4.65,238192,111604052.0,1.29,1.51,0.07,2.73,qfq,stock_zh_a_hist
2026-01-09,300021,4.72,4.72,4.77,4.68,216373,102215975.0,1.91,0.21,0.01,2.48,qfq,stock_zh_a_hist
2026-01-12,300021,4.73,4.77,4.77,4.66,263880,125018274.0,2.33,1.06,0.05,3.02,qfq,stock_zh_a_hist
2026-01-13,300021,4.77,4.79,4.86,4.73,348163,167091425.0,2.73,0.42,0.02,3.99,qfq,stock_zh_a_hist
2026-01-14,300021,4.8,4.9,4.98,4.79,578699,282888698.0,3.97,2.3,0.11,6.63,qfq,stock_zh_a_hist
2026-01-15,300021,4.92,4.8,4.92,4.78,362879,175228441.0,2.86,-2.04,-0.1,4.15,qfq,stock_zh_a_hist
2026-01-16,300021,4.82,4.79,4.91,4.76,235858,113596037.0,3.13,-0.21,-0.01,2.7,qfq,stock_zh_a_hist
2026-01-19,300021,4.76,4.84,4.87,4.76,196430,94805481.0,2.3,1.04,0.05,2.25,qfq,stock_zh_a_hist
2026-01-20,300021,4.83,4.83,4.87,4.8,181239,87552128.0,1.45,-0.21,-0.01,2.08,qfq,stock_zh_a_hist
2026-01-21,300021,4.86,4.85,4.88,4.82,173181,83900874.0,1.24,0.41,0.02,1.98,qfq,stock_zh_a_hist
2026-01-22,300021,4.85,4.89,4.9,4.83,228600,111328822.0,1.44,0.82,0.04,2.62,qfq,stock_zh_a_hist
2026-01-23,300021,4.9,4.89,4.9,4.86,205227,100039381.0,0.82,0.0,0.0,2.35,qfq,stock_zh_a_hist
2026-01-26,300021,4.87,4.82,4.87,4.8,236149,113937306.0,1.43,-1.43,-0.07,2.7,qfq,stock_zh_a_hist
2026-01-27,300021,4.8,4.74,4.81,4.67,205574,97104250.0,2.9,-1.66,-0.08,2.35,qfq,stock_zh_a_hist
2026-01-28,300021,4.73,4.78,4.86,4.72,226009,108210442.0,2.95,0.84,0.04,2.59,qfq,stock_zh_a_hist
2026-01-29,300021,4.77,4.87,4.91,4.74,354628,172356928.0,3.56,1.88,0.09,4.06,qfq,stock_zh_a_hist
2026-01-30,300021,4.87,4.97,5.04,4.83,708124,351714598.0,4.31,2.05,0.1,8.11,qfq,stock_zh_a_hist
2026-02-02,300021,4.91,4.77,4.96,4.76,462558,224482796.0,4.02,-4.02,-0.2,5.3,qfq,stock_zh_a_hist
2026-02-03,300021,4.83,4.78,4.83,4.73,268219,127796199.0,2.1,0.21,0.01,3.07,qfq,stock_zh_a_hist
2026-02-04,300021,5.01,5.02,5.18,4.96,1260892,639402587.0,4.6,5.02,0.24,14.44,qfq,stock_zh_a_hist
2026-02-05,300021,4.93,4.88,5.06,4.86,734775,363819366.0,3.98,-2.79,-0.14,8.41,qfq,stock_zh_a_hist
2026-02-06,300021,4.84,4.84,4.92,4.82,422887,206023267.0,2.05,-0.82,-0.04,4.84,qfq,stock_zh_a_hist
2026-02-09,300021,4.86,4.84,4.88,4.79,473902,228643643.0,1.86,0.0,0.0,5.43,qfq,stock_zh_a_hist
2026-02-10,300021,4.84,4.76,4.84,4.76,321749,153940130.0,1.65,-1.65,-0.08,3.68,qfq,stock_zh_a_hist
2026-02-11,300021,4.77,4.76,4.8,4.76,202677,96805981.0,0.84,0.0,0.0,2.32,qfq,stock_zh_a_hist
2026-02-12,300021,4.77,4.7,4.78,4.69,220469,104043323.0,1.89,-1.26,-0.06,2.52,qfq,stock_zh_a_hist
2026-02-13,300021,4.69,4.62,4.73,4.62,229866,107376398.0,2.34,-1.7,-0.08,2.63,qfq,stock_zh_a_hist
2026-02-24,300021,4.65,4.73,4.73,4.65,195368,91699638.0,1.73,2.38,0.11,2.24,qfq,stock_zh_a_hist
2026-02-25,300021,4.72,4.77,4.8,4.71,252526,120489827.0,1.9,0.85,0.04,2.89,qfq,stock_zh_a_hist
2026-02-26,300021,4.76,4.87,4.93,4.73,386952,186128056.0,4.19,2.1,0.1,4.43,qfq,stock_zh_a_hist
2026-02-27,300021,4.85,5.01,5.07,4.81,782958,387063538.0,5.34,2.87,0.14,8.96,qfq,stock_zh_a_hist
2026-03-02,300021,4.87,4.89,4.96,4.85,436279,213716518.0,2.2,-2.4,-0.12,5.0,qfq,stock_zh_a_hist
2026-03-03,300021,4.87,4.84,4.97,4.8,523924,257169925.0,3.48,-1.02,-0.05,6.0,qfq,stock_zh_a_hist
2026-03-04,300021,4.78,4.92,4.95,4.73,432030,210679823.0,4.55,1.65,0.08,4.95,qfq,stock_zh_a_hist
2026-03-05,300021,4.96,4.8,4.99,4.78,504986,244453166.0,4.27,-2.44,-0.12,5.78,qfq,stock_zh_a_hist
2026-03-06,300021,4.78,4.93,4.95,4.76,443558,216360071.0,3.96,2.71,0.13,5.08,qfq,stock_zh_a_hist
2026-03-09,300021,4.91,4.87,4.96,4.82,358790,174935206.0,2.84,-1.22,-0.06,4.11,qfq,stock_zh_a_hist
2026-03-10,300021,4.88,4.84,4.9,4.83,287624,139741991.0,1.44,-0.62,-0.03,3.29,qfq,stock_zh_a_hist
2026-03-11,300021,4.83,4.9,4.9,4.8,292038,141731926.0,2.07,1.24,0.06,3.34,qfq,stock_zh_a_hist
2026-03-12,300021,4.88,4.82,4.89,4.81,248212,120253462.0,1.63,-1.63,-0.08,2.84,qfq,stock_zh_a_hist
2026-03-13,300021,4.81,4.83,4.93,4.81,386128,187852703.0,2.49,0.21,0.01,4.42,qfq,stock_zh_a_hist
2026-03-16,300021,4.8,4.81,4.92,4.79,313652,151523256.0,2.69,-0.41,-0.02,3.59,qfq,stock_zh_a_hist
2026-03-17,300021,4.8,4.7,4.86,4.69,311279,148687913.0,3.53,-2.29,-0.11,3.56,qfq,stock_zh_a_hist
2026-03-18,300021,4.69,4.67,4.71,4.6,230444,106924612.0,2.34,-0.64,-0.03,2.64,qfq,stock_zh_a_hist
2026-03-19,300021,4.62,4.54,4.65,4.52,189017,86525647.0,2.78,-2.78,-0.13,2.16,qfq,stock_zh_a_hist
2026-03-20,300021,4.53,4.45,4.56,4.45,174117,78229504.0,2.42,-1.98,-0.09,1.99,qfq,stock_zh_a_hist
2026-03-23,300021,4.38,4.19,4.39,4.16,252419,107742020.0,5.17,-5.84,-0.26,2.89,qfq,stock_zh_a_hist
2026-03-24,300021,4.25,4.31,4.32,4.18,160180,67932738.0,3.34,2.86,0.12,1.83,qfq,stock_zh_a_hist
2026-03-25,300021,4.3,4.38,4.4,4.28,138076,60127428.0,2.78,1.62,0.07,1.58,qfq,stock_zh_a_hist
2026-03-26,300021,4.38,4.31,4.41,4.28,136229,59078292.0,2.97,-1.6,-0.07,1.56,qfq,stock_zh_a_hist
2026-03-27,300021,4.29,4.36,4.36,4.27,118075,51144054.0,2.09,1.16,0.05,1.35,qfq,stock_zh_a_hist
2026-03-30,300021,4.3,4.39,4.4,4.28,138369,60428846.0,2.75,0.69,0.03,1.58,qfq,stock_zh_a_hist
