date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,002849,15.9,16.42,16.7,15.89,110002,180326700.24,5.09,3.27,0.52,5.03,qfq,stock_zh_a_hist
2026-01-06,002849,16.44,16.46,16.57,16.16,84985,139386178.2,2.5,0.24,0.04,3.88,qfq,stock_zh_a_hist
2026-01-07,002849,16.43,16.23,16.72,16.18,86333,141539990.2,3.28,-1.4,-0.23,3.94,qfq,stock_zh_a_hist
2026-01-08,002849,16.15,15.95,16.35,15.8,140004,224806814.6,3.39,-1.73,-0.28,6.4,qfq,stock_zh_a_hist
2026-01-09,002849,16.25,17.55,17.55,16.25,107955,187429903.5,8.15,10.03,1.6,4.93,qfq,stock_zh_a_hist
2026-01-12,002849,17.79,18.12,18.51,17.17,377464,682523623.2,7.64,3.25,0.57,17.25,qfq,stock_zh_a_hist
2026-01-13,002849,18.17,17.72,18.43,17.64,199357,358763722.32,4.36,-2.21,-0.4,9.11,qfq,stock_zh_a_hist
2026-01-14,002849,17.84,17.71,18.0,17.38,125223,221577011.0,3.5,-0.06,-0.01,5.72,qfq,stock_zh_a_hist
2026-01-15,002849,17.53,18.23,19.08,17.53,149365,275426619.76,8.75,2.94,0.52,6.83,qfq,stock_zh_a_hist
2026-01-16,002849,18.5,18.35,18.63,18.06,115431,211476909.8,3.13,0.66,0.12,5.27,qfq,stock_zh_a_hist
2026-01-19,002849,18.4,18.83,19.19,18.31,132572,250140185.56,4.8,2.62,0.48,6.06,qfq,stock_zh_a_hist
2026-01-20,002849,19.07,18.54,19.28,18.46,89712,168441433.2,4.35,-1.54,-0.29,4.1,qfq,stock_zh_a_hist
2026-01-21,002849,18.55,18.99,19.1,18.46,75072,141067524.63,3.45,2.43,0.45,3.43,qfq,stock_zh_a_hist
2026-01-22,002849,18.95,19.17,19.4,18.7,101107,193163617.15,3.69,0.95,0.18,4.62,qfq,stock_zh_a_hist
2026-01-23,002849,19.27,19.83,20.15,19.17,91319,180436531.4,5.11,3.44,0.66,4.17,qfq,stock_zh_a_hist
2026-01-26,002849,20.0,19.1,20.2,18.9,98074,189656011.44,6.56,-3.68,-0.73,4.48,qfq,stock_zh_a_hist
2026-01-27,002849,19.23,19.69,19.91,18.7,110821,214254306.1,6.34,3.09,0.59,5.06,qfq,stock_zh_a_hist
2026-01-28,002849,19.95,19.04,19.95,19.0,80824,155815711.4,4.82,-3.3,-0.65,3.69,qfq,stock_zh_a_hist
2026-01-29,002849,18.99,18.54,19.34,18.5,92651,175346712.2,4.41,-2.63,-0.5,4.23,qfq,stock_zh_a_hist
2026-01-30,002849,18.54,19.27,19.37,18.15,103659,196094181.8,6.58,3.94,0.73,4.74,qfq,stock_zh_a_hist
2026-02-02,002849,19.46,19.07,20.09,18.8,90624,174883005.3,6.69,-1.04,-0.2,4.14,qfq,stock_zh_a_hist
2026-02-03,002849,19.38,19.62,19.85,19.0,88179,171008290.2,4.46,2.88,0.55,4.03,qfq,stock_zh_a_hist
2026-02-04,002849,19.62,19.47,19.79,19.28,78139,152568062.0,2.6,-0.76,-0.15,3.57,qfq,stock_zh_a_hist
2026-02-05,002849,19.66,19.38,19.72,19.2,60674,117841939.8,2.67,-0.46,-0.09,2.77,qfq,stock_zh_a_hist
2026-02-06,002849,19.33,19.0,19.59,19.0,62242,119802015.0,3.04,-1.96,-0.38,2.84,qfq,stock_zh_a_hist
2026-02-09,002849,19.34,18.74,19.66,18.61,140876,268238736.4,5.53,-1.37,-0.26,6.44,qfq,stock_zh_a_hist
2026-02-10,002849,18.75,18.84,19.28,18.4,111034,208611197.8,4.7,0.53,0.1,5.07,qfq,stock_zh_a_hist
2026-02-11,002849,18.86,18.37,18.95,18.34,58791,109470024.0,3.24,-2.49,-0.47,2.69,qfq,stock_zh_a_hist
2026-02-12,002849,18.37,18.22,18.68,18.16,76816,141836528.0,2.83,-0.82,-0.15,3.51,qfq,stock_zh_a_hist
2026-02-13,002849,18.18,18.31,18.64,18.06,76902,140824822.0,3.18,0.49,0.09,3.51,qfq,stock_zh_a_hist
2026-02-24,002849,18.62,18.42,18.85,18.11,84316,155782683.8,4.04,0.6,0.11,3.85,qfq,stock_zh_a_hist
2026-02-25,002849,18.41,18.5,18.74,17.97,96683,176969540.8,4.18,0.43,0.08,4.42,qfq,stock_zh_a_hist
2026-02-26,002849,18.42,19.08,19.19,18.35,99878,188073161.8,4.54,3.14,0.58,4.56,qfq,stock_zh_a_hist
2026-02-27,002849,19.09,20.06,20.18,18.72,124125,244402308.0,7.65,5.14,0.98,5.67,qfq,stock_zh_a_hist
2026-03-02,002849,19.86,19.26,19.98,18.99,150588,291930457.4,4.94,-3.99,-0.8,6.88,qfq,stock_zh_a_hist
2026-03-03,002849,19.48,17.77,19.48,17.69,114391,211078751.8,9.29,-7.74,-1.49,5.23,qfq,stock_zh_a_hist
2026-03-04,002849,17.7,17.52,18.21,17.37,86412,152609870.3,4.73,-1.41,-0.25,3.95,qfq,stock_zh_a_hist
2026-03-05,002849,17.98,17.81,18.29,17.42,72097,128274089.9,4.97,1.66,0.29,3.29,qfq,stock_zh_a_hist
2026-03-06,002849,17.65,19.59,19.59,17.61,101131,190034344.8,11.12,9.99,1.78,4.62,qfq,stock_zh_a_hist
2026-03-09,002849,19.2,19.31,19.55,17.95,209039,391713628.9,8.17,-1.43,-0.28,9.55,qfq,stock_zh_a_hist
2026-03-10,002849,19.58,19.65,19.9,19.35,119121,233383805.3,2.85,1.76,0.34,5.44,qfq,stock_zh_a_hist
2026-03-11,002849,19.6,19.52,20.0,19.48,97038,190538889.8,2.65,-0.66,-0.13,4.43,qfq,stock_zh_a_hist
2026-03-12,002849,19.61,18.55,19.61,18.48,108747,204033324.6,5.79,-4.97,-0.97,4.97,qfq,stock_zh_a_hist
2026-03-13,002849,18.55,18.16,18.63,18.08,72002,131921263.3,2.96,-2.1,-0.39,3.29,qfq,stock_zh_a_hist
2026-03-16,002849,18.23,17.85,18.28,17.42,74996,132609846.5,4.74,-1.71,-0.31,3.43,qfq,stock_zh_a_hist
2026-03-17,002849,17.87,16.9,17.99,16.83,67755,116865246.9,6.5,-5.32,-0.95,3.1,qfq,stock_zh_a_hist
2026-03-18,002849,17.05,17.35,17.38,16.85,55653,95194257.0,3.14,2.66,0.45,2.54,qfq,stock_zh_a_hist
2026-03-19,002849,17.25,16.89,17.4,16.76,61957,105661025.24,3.69,-2.65,-0.46,2.83,qfq,stock_zh_a_hist
2026-03-20,002849,16.96,16.19,17.2,16.15,66414,110200229.04,6.22,-4.14,-0.7,3.03,qfq,stock_zh_a_hist
2026-03-23,002849,15.89,14.73,15.91,14.59,98239,149941440.35,8.15,-9.02,-1.46,4.49,qfq,stock_zh_a_hist
2026-03-24,002849,15.19,15.36,15.66,14.84,79769,120988643.0,5.57,4.28,0.63,3.64,qfq,stock_zh_a_hist
2026-03-25,002849,15.57,15.83,16.06,15.37,75465,119582222.0,4.49,3.06,0.47,3.45,qfq,stock_zh_a_hist
2026-03-26,002849,15.83,15.49,15.92,15.35,43232,67403744.0,3.6,-2.15,-0.34,1.98,qfq,stock_zh_a_hist
2026-03-27,002849,15.32,16.46,16.69,15.27,106592,173095936.73,9.17,6.26,0.97,4.87,qfq,stock_zh_a_hist
2026-03-30,002849,16.34,16.84,17.04,16.25,75739,126221794.59,4.8,2.31,0.38,3.46,qfq,stock_zh_a_hist
2026-03-31,002849,16.88,16.55,17.07,16.55,59584,100177479.49,3.09,-1.72,-0.29,2.72,qfq,stock_zh_a_hist
2026-04-01,002849,16.9,16.86,17.03,16.61,43351,72981697.6,2.54,1.87,0.31,1.98,qfq,stock_zh_a_hist
2026-04-02,002849,16.8,16.6,16.94,16.5,48646,81369353.2,2.61,-1.54,-0.26,2.22,qfq,stock_zh_a_hist
2026-04-03,002849,16.6,16.32,16.76,15.95,54792,88871338.33,4.88,-1.69,-0.28,2.5,qfq,stock_zh_a_hist
2026-04-07,002849,16.36,16.58,16.8,16.14,42031,69494520.0,4.04,1.59,0.26,1.92,qfq,stock_zh_a_hist
2026-04-08,002849,16.92,17.44,17.5,16.78,77715,134181166.2,4.34,5.19,0.86,3.55,qfq,stock_zh_a_hist
2026-04-09,002849,17.41,17.64,17.76,17.2,70657,124066293.0,3.21,1.15,0.2,3.23,qfq,stock_zh_a_hist
2026-04-10,002849,17.65,18.05,18.76,17.55,121095,219458817.0,6.86,2.32,0.41,5.53,qfq,stock_zh_a_hist
2026-04-13,002849,17.87,17.66,17.87,16.93,99456,174083082.0,5.21,-2.16,-0.39,4.54,qfq,stock_zh_a_hist
2026-04-14,002849,18.0,17.89,18.3,17.52,72859,129335200.0,4.42,1.3,0.23,3.33,qfq,stock_zh_a_hist
2026-04-15,002849,18.01,18.21,18.59,17.91,81069,148156599.0,3.8,1.79,0.32,3.7,qfq,stock_zh_a_hist
2026-04-16,002849,18.21,18.04,18.45,18.0,57008,103288082.0,2.47,-0.93,-0.17,2.6,qfq,stock_zh_a_hist
2026-04-17,002849,18.01,18.14,18.2,17.79,49385,88820628.0,2.27,0.55,0.1,2.26,qfq,stock_zh_a_hist
2026-04-20,002849,18.18,17.97,18.6,17.92,57722,104794113.0,3.75,-0.94,-0.17,2.64,qfq,stock_zh_a_hist
2026-04-21,002849,18.25,17.8,18.25,17.57,58240,103386169.62,3.78,-0.95,-0.17,2.66,qfq,stock_zh_a_hist
2026-04-22,002849,17.8,17.75,18.03,17.53,56086,99507740.0,2.81,-0.28,-0.05,2.56,qfq,stock_zh_a_hist
2026-04-23,002849,17.75,17.22,18.08,17.12,61706,107460326.2,5.41,-2.99,-0.53,2.82,qfq,stock_zh_a_hist
2026-04-24,002849,17.09,17.13,17.48,16.9,47684,81718761.8,3.37,-0.52,-0.09,2.18,qfq,stock_zh_a_hist
2026-04-27,002849,17.13,17.43,17.58,17.0,56585,98275614.0,3.39,1.75,0.3,2.59,qfq,stock_zh_a_hist
2026-04-28,002849,17.3,17.21,17.65,17.08,59865,103761005.93,3.27,-1.26,-0.22,2.74,qfq,stock_zh_a_hist
2026-04-29,002849,17.21,17.16,17.54,17.09,49756,85984724.6,2.61,-0.29,-0.05,2.27,qfq,stock_zh_a_hist
2026-04-30,002849,17.11,17.3,17.67,17.03,66365,114803107.9,3.73,0.82,0.14,3.03,qfq,stock_zh_a_hist
2026-05-06,002849,17.3,17.2,17.55,17.12,76402,131831796.0,2.49,-0.58,-0.1,3.49,qfq,stock_zh_a_hist
2026-05-07,002849,17.26,17.3,17.51,16.78,100097,171937934.5,4.24,0.58,0.1,4.57,qfq,stock_zh_a_hist
2026-05-08,002849,17.3,17.34,17.5,17.06,57012,98924007.82,2.54,0.23,0.04,2.61,qfq,stock_zh_a_hist
2026-05-11,002849,17.55,18.47,18.67,17.34,126051,228988732.93,7.67,6.52,1.13,5.76,qfq,stock_zh_a_hist
2026-05-12,002849,18.48,18.43,19.22,18.35,117446,219571269.08,4.71,-0.22,-0.04,5.37,qfq,stock_zh_a_hist
2026-05-13,002849,18.41,17.98,18.48,17.92,76926,139855987.0,3.04,-2.44,-0.45,3.52,qfq,stock_zh_a_hist
2026-05-14,002849,18.08,18.6,19.78,17.09,231716,428335262.2,14.96,3.45,0.62,10.59,qfq,stock_zh_a_hist
