date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,688435,46.84,48.2,48.73,46.43,25647,123524425.0,4.92,3.06,1.43,5.44,qfq,stock_zh_a_hist
2026-01-06,688435,48.17,49.7,50.12,47.67,29266,142854840.0,5.08,3.11,1.5,6.2,qfq,stock_zh_a_hist
2026-01-07,688435,49.6,49.51,50.68,48.5,33701,166442727.0,4.39,-0.38,-0.19,7.14,qfq,stock_zh_a_hist
2026-01-08,688435,49.01,48.61,49.51,48.2,24726,120300354.0,2.65,-1.82,-0.9,5.24,qfq,stock_zh_a_hist
2026-01-09,688435,48.45,50.55,50.8,48.3,51755,255256185.0,5.14,3.99,1.94,10.97,qfq,stock_zh_a_hist
2026-01-12,688435,52.34,57.0,57.64,50.55,109720,592646359.0,14.03,12.76,6.45,23.25,qfq,stock_zh_a_hist
2026-01-13,688435,59.75,53.79,59.8,53.11,95570,531752321.0,11.74,-5.63,-3.21,20.26,qfq,stock_zh_a_hist
2026-01-14,688435,53.05,54.83,59.15,53.05,87903,491941245.0,11.34,1.93,1.04,18.63,qfq,stock_zh_a_hist
2026-01-15,688435,54.84,52.96,55.0,51.0,58114,306495251.0,7.3,-3.41,-1.87,12.32,qfq,stock_zh_a_hist
2026-01-16,688435,52.53,50.27,52.98,50.1,43384,221198234.0,5.44,-5.08,-2.69,9.2,qfq,stock_zh_a_hist
2026-01-19,688435,48.51,47.93,48.99,47.67,34646,167323734.0,2.63,-4.65,-2.34,6.18,qfq,stock_zh_a_hist
2026-01-20,688435,47.98,47.1,48.47,45.8,25313,118559603.0,5.57,-1.73,-0.83,4.52,qfq,stock_zh_a_hist
2026-01-21,688435,46.1,46.59,46.8,45.77,18490,85680432.0,2.19,-1.08,-0.51,3.3,qfq,stock_zh_a_hist
2026-01-22,688435,46.66,47.37,47.69,45.8,28397,132691352.0,4.06,1.67,0.78,5.07,qfq,stock_zh_a_hist
2026-01-23,688435,47.0,46.98,47.63,46.5,21945,103166319.0,2.39,-0.82,-0.39,3.92,qfq,stock_zh_a_hist
2026-01-26,688435,47.12,45.09,47.45,44.15,27062,122518154.0,7.02,-4.02,-1.89,4.83,qfq,stock_zh_a_hist
2026-01-27,688435,45.09,48.61,48.84,43.86,46986,220936824.0,11.04,7.81,3.52,8.38,qfq,stock_zh_a_hist
2026-01-28,688435,47.98,57.25,57.5,47.98,113924,622704295.0,19.58,17.77,8.64,20.33,qfq,stock_zh_a_hist
2026-01-29,688435,57.25,59.42,63.61,56.5,94173,564555395.0,12.42,3.79,2.17,16.8,qfq,stock_zh_a_hist
2026-01-30,688435,60.96,61.91,62.8,59.45,63603,389409914.0,5.64,4.19,2.49,11.35,qfq,stock_zh_a_hist
2026-02-02,688435,60.34,58.1,60.98,57.7,50180,295912840.0,5.3,-6.15,-3.81,8.95,qfq,stock_zh_a_hist
2026-02-03,688435,59.0,59.5,59.99,56.41,43942,256248557.0,6.16,2.41,1.4,7.84,qfq,stock_zh_a_hist
2026-02-04,688435,58.89,56.85,59.34,55.0,39828,225646255.0,7.29,-4.45,-2.65,7.11,qfq,stock_zh_a_hist
2026-02-05,688435,56.0,54.78,56.79,54.2,25130,138580100.0,4.56,-3.64,-2.07,4.48,qfq,stock_zh_a_hist
2026-02-06,688435,53.76,54.05,54.68,52.55,22555,121157735.0,3.89,-1.33,-0.73,4.02,qfq,stock_zh_a_hist
2026-02-09,688435,55.0,64.86,64.86,53.53,105380,644837274.0,20.96,20.0,10.81,18.8,qfq,stock_zh_a_hist
2026-02-10,688435,64.96,62.5,65.56,62.0,72162,459719672.0,5.49,-3.64,-2.36,12.88,qfq,stock_zh_a_hist
2026-02-11,688435,62.19,61.66,63.55,60.8,41065,254248473.0,4.4,-1.34,-0.84,7.33,qfq,stock_zh_a_hist
2026-02-12,688435,63.1,61.2,64.11,60.8,47526,294363871.0,5.37,-0.75,-0.46,8.48,qfq,stock_zh_a_hist
