date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,003036,15.84,15.95,16.58,15.58,74451,120312362.98,6.49,3.5,0.54,3.44,qfq,stock_zh_a_hist
2026-01-06,003036,15.95,15.76,15.96,15.69,39372,62456624.0,1.69,-1.19,-0.19,1.82,qfq,stock_zh_a_hist
2026-01-07,003036,15.74,15.95,16.08,15.66,34344,54881760.03,2.66,1.21,0.19,1.59,qfq,stock_zh_a_hist
2026-01-08,003036,15.96,15.89,15.96,15.78,24171,38486799.04,1.13,-0.38,-0.06,1.12,qfq,stock_zh_a_hist
2026-01-09,003036,15.83,15.84,15.86,15.69,30596,48514661.64,1.07,-0.31,-0.05,1.41,qfq,stock_zh_a_hist
2026-01-12,003036,15.88,16.0,16.2,15.62,53196,84730317.6,3.66,1.01,0.16,2.46,qfq,stock_zh_a_hist
2026-01-13,003036,16.05,16.16,16.45,15.79,50120,81342290.16,4.13,1.0,0.16,2.32,qfq,stock_zh_a_hist
2026-01-14,003036,16.21,16.14,16.49,15.84,50356,82141349.02,4.02,-0.12,-0.02,2.33,qfq,stock_zh_a_hist
2026-01-15,003036,16.09,16.23,16.57,16.0,31229,50976523.0,3.53,0.56,0.09,1.44,qfq,stock_zh_a_hist
2026-01-16,003036,16.24,16.08,16.38,16.03,23463,38082202.52,2.16,-0.92,-0.15,1.08,qfq,stock_zh_a_hist
2026-01-19,003036,16.06,16.23,16.33,16.0,29617,48282181.0,2.05,0.93,0.15,1.37,qfq,stock_zh_a_hist
2026-01-20,003036,16.23,16.39,16.44,16.12,30095,49277163.85,1.97,0.99,0.16,1.39,qfq,stock_zh_a_hist
2026-01-21,003036,16.35,16.65,16.72,16.21,41275,68796669.37,3.11,1.59,0.26,1.91,qfq,stock_zh_a_hist
2026-01-22,003036,16.65,16.93,17.13,16.57,59521,100862784.0,3.36,1.68,0.28,2.75,qfq,stock_zh_a_hist
2026-01-23,003036,16.99,16.74,17.09,16.63,42525,71524701.06,2.72,-1.12,-0.19,1.97,qfq,stock_zh_a_hist
2026-01-26,003036,16.77,16.46,16.81,16.23,37830,62581667.0,3.46,-1.67,-0.28,1.75,qfq,stock_zh_a_hist
2026-01-27,003036,16.43,16.2,16.44,15.84,28523,46091957.0,3.65,-1.58,-0.26,1.32,qfq,stock_zh_a_hist
2026-01-28,003036,16.2,15.88,16.23,15.78,31811,50808723.87,2.78,-1.98,-0.32,1.47,qfq,stock_zh_a_hist
2026-01-29,003036,15.78,15.75,16.06,15.62,24927,39599055.0,2.77,-0.82,-0.13,1.15,qfq,stock_zh_a_hist
2026-01-30,003036,15.68,15.91,15.93,15.57,22051,34928931.0,2.29,1.02,0.16,1.02,qfq,stock_zh_a_hist
2026-02-02,003036,15.84,16.1,16.38,15.8,41310,67001419.4,3.65,1.19,0.19,1.91,qfq,stock_zh_a_hist
