date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,002661,8.84,8.91,8.94,8.84,41187,37772646.8,1.13,0.45,0.04,1.3,qfq,stock_zh_a_hist
2026-01-06,002661,8.94,8.95,8.97,8.84,35816,32908810.0,1.46,0.45,0.04,1.13,qfq,stock_zh_a_hist
2026-01-07,002661,8.95,8.94,8.98,8.9,33611,30940591.0,0.89,-0.11,-0.01,1.06,qfq,stock_zh_a_hist
2026-01-08,002661,8.95,9.03,9.06,8.91,37555,34261951.92,1.68,1.01,0.09,1.18,qfq,stock_zh_a_hist
2026-01-09,002661,9.03,9.03,9.04,8.97,31019,28377919.0,0.78,0.0,0.0,0.98,qfq,stock_zh_a_hist
2026-01-12,002661,9.06,9.09,9.09,9.0,34792,31982293.76,1.0,0.66,0.06,1.1,qfq,stock_zh_a_hist
2026-01-13,002661,9.1,9.08,9.17,9.06,46223,42776980.29,1.21,-0.11,-0.01,1.45,qfq,stock_zh_a_hist
2026-01-14,002661,9.08,9.03,9.14,8.93,44571,40969027.43,2.31,-0.55,-0.05,1.4,qfq,stock_zh_a_hist
2026-01-15,002661,9.03,9.1,9.1,8.98,29580,27238549.97,1.33,0.78,0.07,0.93,qfq,stock_zh_a_hist
2026-01-16,002661,9.11,9.11,9.11,8.99,29422,27078227.0,1.32,0.11,0.01,0.93,qfq,stock_zh_a_hist
2026-01-19,002661,9.06,9.25,9.25,9.05,43096,40200016.88,2.2,1.54,0.14,1.36,qfq,stock_zh_a_hist
2026-01-20,002661,9.25,9.31,9.34,9.18,43383,40945706.0,1.73,0.65,0.06,1.37,qfq,stock_zh_a_hist
2026-01-21,002661,9.25,9.31,9.32,9.2,28534,26823426.99,1.29,0.0,0.0,0.9,qfq,stock_zh_a_hist
2026-01-22,002661,9.31,9.38,9.39,9.25,30656,29085792.68,1.5,0.75,0.07,0.96,qfq,stock_zh_a_hist
2026-01-23,002661,9.38,9.35,9.4,9.32,24582,23350968.0,0.85,-0.32,-0.03,0.77,qfq,stock_zh_a_hist
2026-01-26,002661,9.35,9.4,9.43,9.27,40231,38307537.74,1.71,0.53,0.05,1.27,qfq,stock_zh_a_hist
2026-01-27,002661,9.39,9.3,9.39,9.13,32336,30308288.0,2.77,-1.06,-0.1,1.02,qfq,stock_zh_a_hist
2026-01-28,002661,9.31,9.27,9.35,9.23,31107,29315915.64,1.29,-0.32,-0.03,0.98,qfq,stock_zh_a_hist
2026-01-29,002661,9.31,9.34,9.36,9.21,35028,33092241.35,1.62,0.76,0.07,1.1,qfq,stock_zh_a_hist
2026-01-30,002661,9.34,9.43,9.5,9.27,48347,46208541.6,2.46,0.96,0.09,1.52,qfq,stock_zh_a_hist
2026-02-02,002661,9.4,9.32,9.5,9.29,43544,41617616.39,2.23,-1.17,-0.11,1.37,qfq,stock_zh_a_hist
2026-02-03,002661,9.4,9.37,9.42,9.3,37365,35528629.51,1.29,0.54,0.05,1.18,qfq,stock_zh_a_hist
2026-02-04,002661,9.41,9.52,9.54,9.34,43291,41675726.35,2.13,1.6,0.15,1.36,qfq,stock_zh_a_hist
2026-02-05,002661,9.52,9.5,9.61,9.46,39027,37804551.0,1.58,-0.21,-0.02,1.23,qfq,stock_zh_a_hist
2026-02-06,002661,9.48,9.47,9.6,9.44,43463,41988054.04,1.68,-0.32,-0.03,1.37,qfq,stock_zh_a_hist
2026-02-09,002661,9.51,9.48,9.54,9.41,39648,38046233.02,1.37,0.11,0.01,1.25,qfq,stock_zh_a_hist
2026-02-10,002661,9.5,9.44,9.51,9.4,27013,25891399.01,1.16,-0.42,-0.04,0.85,qfq,stock_zh_a_hist
2026-02-11,002661,9.46,9.43,9.49,9.38,25309,24251358.41,1.17,-0.11,-0.01,0.8,qfq,stock_zh_a_hist
2026-02-12,002661,9.52,9.27,9.52,9.25,37897,35841149.17,2.86,-1.7,-0.16,1.19,qfq,stock_zh_a_hist
2026-02-13,002661,9.29,9.19,9.32,9.18,27837,26130086.0,1.51,-0.86,-0.08,0.88,qfq,stock_zh_a_hist
2026-02-24,002661,9.21,9.37,9.42,9.2,39072,37065479.7,2.39,1.96,0.18,1.23,qfq,stock_zh_a_hist
2026-02-25,002661,9.42,9.38,9.5,9.38,34738,33268932.0,1.28,0.11,0.01,1.09,qfq,stock_zh_a_hist
2026-02-26,002661,9.39,9.37,9.46,9.3,28549,27145447.0,1.71,-0.11,-0.01,0.9,qfq,stock_zh_a_hist
2026-02-27,002661,9.4,9.38,9.44,9.32,24191,23067158.0,1.28,0.11,0.01,0.76,qfq,stock_zh_a_hist
2026-03-02,002661,9.38,9.15,9.38,9.11,48439,45320195.41,2.88,-2.45,-0.23,1.52,qfq,stock_zh_a_hist
2026-03-03,002661,9.19,9.14,9.35,9.14,54948,51510931.0,2.3,-0.11,-0.01,1.73,qfq,stock_zh_a_hist
2026-03-04,002661,9.17,9.06,9.21,9.02,47904,44202743.86,2.08,-0.88,-0.08,1.51,qfq,stock_zh_a_hist
2026-03-05,002661,9.14,8.98,9.17,8.91,47852,43845261.21,2.87,-0.88,-0.08,1.51,qfq,stock_zh_a_hist
2026-03-06,002661,8.96,9.29,9.31,8.94,50643,47101608.63,4.12,3.45,0.31,1.59,qfq,stock_zh_a_hist
2026-03-09,002661,9.25,9.27,9.44,9.2,52634,49809517.0,2.58,-0.22,-0.02,1.66,qfq,stock_zh_a_hist
2026-03-10,002661,9.32,9.4,9.41,9.21,42073,39791607.2,2.16,1.4,0.13,1.32,qfq,stock_zh_a_hist
2026-03-11,002661,9.39,9.34,9.42,9.29,24556,23265683.0,1.38,-0.64,-0.06,0.77,qfq,stock_zh_a_hist
2026-03-12,002661,9.4,9.31,9.44,9.3,41651,39588361.0,1.5,-0.32,-0.03,1.31,qfq,stock_zh_a_hist
2026-03-13,002661,9.3,9.36,9.46,9.29,44970,42859397.0,1.83,0.54,0.05,1.42,qfq,stock_zh_a_hist
2026-03-16,002661,9.36,9.43,9.51,9.31,39310,37588792.0,2.14,0.75,0.07,1.24,qfq,stock_zh_a_hist
2026-03-17,002661,9.43,9.3,9.5,9.3,30252,28873963.97,2.12,-1.38,-0.13,0.95,qfq,stock_zh_a_hist
2026-03-18,002661,9.31,9.32,9.35,9.17,32691,30754840.0,1.94,0.22,0.02,1.03,qfq,stock_zh_a_hist
2026-03-19,002661,9.31,9.19,9.39,9.16,28394,26698323.7,2.47,-1.39,-0.13,0.89,qfq,stock_zh_a_hist
2026-03-20,002661,9.18,8.84,9.24,8.83,57566,52469424.07,4.46,-3.81,-0.35,1.81,qfq,stock_zh_a_hist
2026-03-23,002661,8.74,8.27,8.76,8.2,77138,66190748.0,6.33,-6.45,-0.57,2.43,qfq,stock_zh_a_hist
2026-03-24,002661,8.41,8.54,8.56,8.23,46905,40139689.01,3.99,3.26,0.27,1.48,qfq,stock_zh_a_hist
2026-03-25,002661,8.6,8.67,8.71,8.51,28612,25131473.34,2.34,1.52,0.13,0.9,qfq,stock_zh_a_hist
2026-03-26,002661,8.67,8.66,8.85,8.64,33737,29901044.71,2.42,-0.12,-0.01,1.06,qfq,stock_zh_a_hist
2026-03-27,002661,8.61,8.82,8.83,8.57,34920,31004867.53,3.0,1.85,0.16,1.1,qfq,stock_zh_a_hist
2026-03-30,002661,8.86,9.1,9.12,8.77,63830,58476014.97,3.97,3.17,0.28,2.01,qfq,stock_zh_a_hist
2026-03-31,002661,9.1,9.03,9.23,9.01,55776,51742094.84,2.42,-0.77,-0.07,1.76,qfq,stock_zh_a_hist
