date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover_rate,adjust,source
2026-01-05,001317,55.3,53.38,55.42,53.14,66115,355729983.29,4.14,-3.14,-1.73,7.73,qfq,stock_zh_a_hist
2026-01-06,001317,53.01,53.06,53.33,52.01,61790,325689849.53,2.47,-0.6,-0.32,7.23,qfq,stock_zh_a_hist
2026-01-07,001317,52.49,53.32,54.73,52.4,73389,391813202.5,4.39,0.49,0.26,8.59,qfq,stock_zh_a_hist
2026-01-08,001317,53.0,54.6,55.88,52.71,77211,421595626.58,5.95,2.4,1.28,9.03,qfq,stock_zh_a_hist
2026-01-09,001317,54.33,54.52,55.84,53.94,70342,386935131.69,3.48,-0.15,-0.08,8.23,qfq,stock_zh_a_hist
2026-01-12,001317,54.66,56.31,57.3,54.2,79757,443770317.46,5.69,3.28,1.79,9.33,qfq,stock_zh_a_hist
2026-01-13,001317,55.5,54.72,56.98,54.31,61180,339244011.53,4.74,-2.82,-1.59,7.16,qfq,stock_zh_a_hist
2026-01-14,001317,53.65,56.48,57.8,53.4,86399,483044024.35,8.04,3.22,1.76,10.11,qfq,stock_zh_a_hist
2026-01-15,001317,56.02,53.49,56.46,52.45,78110,419171836.61,7.1,-5.29,-2.99,9.14,qfq,stock_zh_a_hist
2026-01-16,001317,53.5,53.8,54.72,52.98,46869,252074799.22,3.25,0.58,0.31,5.48,qfq,stock_zh_a_hist
2026-01-19,001317,53.19,54.9,55.43,52.59,46927,254594902.51,5.28,2.04,1.1,5.49,qfq,stock_zh_a_hist
2026-01-20,001317,55.31,53.0,55.35,52.61,43303,231344249.02,4.99,-3.46,-1.9,5.07,qfq,stock_zh_a_hist
2026-01-21,001317,52.47,51.0,53.0,50.85,44308,228533262.27,4.06,-3.77,-2.0,5.18,qfq,stock_zh_a_hist
2026-01-22,001317,51.01,50.56,51.3,50.04,36252,183145568.44,2.47,-0.86,-0.44,4.24,qfq,stock_zh_a_hist
2026-01-23,001317,51.01,51.13,51.25,50.2,28103,142703712.21,2.08,1.13,0.57,3.29,qfq,stock_zh_a_hist
2026-01-26,001317,50.8,49.46,51.2,48.7,39189,194552148.1,4.89,-3.27,-1.67,4.58,qfq,stock_zh_a_hist
2026-01-27,001317,49.0,48.2,49.58,46.48,58387,276940594.76,6.27,-2.55,-1.26,6.83,qfq,stock_zh_a_hist
2026-01-28,001317,47.6,47.41,48.66,47.12,25427,121085316.85,3.2,-1.64,-0.79,2.97,qfq,stock_zh_a_hist
2026-01-29,001317,47.01,47.56,48.6,46.49,31025,148646560.5,4.45,0.32,0.15,3.63,qfq,stock_zh_a_hist
2026-01-30,001317,47.66,48.36,48.6,47.46,29042,140087877.94,2.4,1.68,0.8,3.4,qfq,stock_zh_a_hist
2026-02-02,001317,48.1,48.55,50.88,47.96,41257,204353384.1,6.04,0.39,0.19,4.83,qfq,stock_zh_a_hist
2026-02-03,001317,48.87,48.86,49.05,48.05,25742,124940899.4,2.06,0.64,0.31,3.01,qfq,stock_zh_a_hist
2026-02-04,001317,48.95,49.36,49.75,48.39,23162,113681169.9,2.78,1.02,0.5,2.71,qfq,stock_zh_a_hist
2026-02-05,001317,49.1,49.9,50.7,48.85,45025,224572346.23,3.75,1.09,0.54,5.27,qfq,stock_zh_a_hist
2026-02-06,001317,49.2,51.94,53.4,49.2,77422,399041429.0,8.42,4.09,2.04,9.06,qfq,stock_zh_a_hist
2026-02-09,001317,51.68,52.7,53.68,51.42,50004,262759184.84,4.35,1.46,0.76,5.85,qfq,stock_zh_a_hist
2026-02-10,001317,52.62,52.7,53.28,52.26,29159,153877806.16,1.94,0.0,0.0,3.41,qfq,stock_zh_a_hist
2026-02-11,001317,52.63,52.89,53.5,51.77,29648,156523046.25,3.28,0.36,0.19,3.47,qfq,stock_zh_a_hist
2026-02-12,001317,52.88,53.5,54.17,52.67,36126,193079318.82,2.84,1.15,0.61,4.23,qfq,stock_zh_a_hist
2026-02-13,001317,53.5,51.77,54.19,51.65,45844,241828681.45,4.75,-3.23,-1.73,5.36,qfq,stock_zh_a_hist
2026-02-24,001317,52.7,52.15,53.1,51.87,30519,160291802.77,2.38,0.73,0.38,3.57,qfq,stock_zh_a_hist
2026-02-25,001317,52.15,52.83,53.25,51.83,29443,155320287.52,2.72,1.3,0.68,3.44,qfq,stock_zh_a_hist
2026-02-26,001317,52.84,51.5,53.36,51.5,26308,136672441.0,3.52,-2.52,-1.33,3.08,qfq,stock_zh_a_hist
2026-02-27,001317,51.71,52.92,53.15,51.56,26513,138869539.28,3.09,2.76,1.42,3.1,qfq,stock_zh_a_hist
2026-03-02,001317,52.36,52.01,53.52,51.84,30369,159462306.45,3.17,-1.72,-0.91,3.55,qfq,stock_zh_a_hist
2026-03-03,001317,52.01,51.6,52.95,51.23,28206,147007598.85,3.31,-0.79,-0.41,3.3,qfq,stock_zh_a_hist
2026-03-04,001317,50.9,50.63,51.98,50.16,25280,128725873.64,3.53,-1.88,-0.97,2.96,qfq,stock_zh_a_hist
2026-03-05,001317,51.38,50.39,51.53,50.0,19716,100261447.0,3.02,-0.47,-0.24,2.31,qfq,stock_zh_a_hist
2026-03-06,001317,50.3,50.51,51.18,50.16,14743,74736227.88,2.02,0.24,0.12,1.72,qfq,stock_zh_a_hist
2026-03-09,001317,49.5,47.3,49.76,46.6,38360,182429335.64,6.26,-6.36,-3.21,4.49,qfq,stock_zh_a_hist
2026-03-10,001317,48.32,48.45,48.56,47.84,22688,109335983.22,1.52,2.43,1.15,2.65,qfq,stock_zh_a_hist
2026-03-11,001317,48.45,47.1,48.8,46.85,23805,112987535.19,4.02,-2.79,-1.35,2.78,qfq,stock_zh_a_hist
2026-03-12,001317,46.95,45.77,47.1,45.61,22375,103294436.0,3.16,-2.82,-1.33,2.62,qfq,stock_zh_a_hist
2026-03-13,001317,45.55,45.41,46.3,45.0,19426,88708514.65,2.84,-0.79,-0.36,2.27,qfq,stock_zh_a_hist
2026-03-16,001317,45.5,45.9,46.8,45.0,27029,123722420.36,3.96,1.08,0.49,3.16,qfq,stock_zh_a_hist
2026-03-17,001317,46.16,45.93,47.5,45.61,33193,154536047.4,4.12,0.07,0.03,3.88,qfq,stock_zh_a_hist
2026-03-18,001317,46.2,47.33,47.88,46.05,39474,186215893.98,3.98,3.05,1.4,4.62,qfq,stock_zh_a_hist
2026-03-19,001317,46.88,46.39,47.64,45.9,21978,102447561.48,3.68,-1.99,-0.94,2.57,qfq,stock_zh_a_hist
2026-03-20,001317,46.65,44.85,47.28,44.8,23912,109427190.35,5.35,-3.32,-1.54,2.8,qfq,stock_zh_a_hist
2026-03-23,001317,44.0,43.13,45.1,42.66,31237,136890280.0,5.44,-3.84,-1.72,3.65,qfq,stock_zh_a_hist
2026-03-24,001317,43.89,44.68,44.78,43.29,25181,110639235.26,3.45,3.59,1.55,2.95,qfq,stock_zh_a_hist
2026-03-25,001317,44.9,46.49,46.49,44.77,25963,119382682.55,3.85,4.05,1.81,3.04,qfq,stock_zh_a_hist
2026-03-26,001317,46.5,47.25,47.88,46.21,28090,132311863.16,3.59,1.63,0.76,3.29,qfq,stock_zh_a_hist
2026-03-27,001317,46.99,48.72,49.75,46.7,36659,177544695.22,6.46,3.11,1.47,4.29,qfq,stock_zh_a_hist
2026-03-30,001317,48.4,48.44,49.45,48.22,20638,100310867.16,2.52,-0.57,-0.28,2.41,qfq,stock_zh_a_hist
2026-03-31,001317,48.59,47.22,49.1,47.1,21667,104137829.85,4.13,-2.52,-1.22,2.53,qfq,stock_zh_a_hist
2026-04-01,001317,47.98,48.02,48.48,47.23,19984,95694444.08,2.65,1.69,0.8,2.34,qfq,stock_zh_a_hist
2026-04-02,001317,47.91,47.16,48.53,46.9,17263,82013778.0,3.39,-1.79,-0.86,2.02,qfq,stock_zh_a_hist
2026-04-03,001317,47.16,45.78,47.35,45.61,18659,85890147.86,3.69,-2.93,-1.38,2.18,qfq,stock_zh_a_hist
2026-04-07,001317,46.41,47.48,48.03,45.81,21633,102028859.0,4.85,3.71,1.7,2.53,qfq,stock_zh_a_hist
2026-04-08,001317,49.01,49.07,49.28,48.61,22771,111705170.38,1.41,3.35,1.59,2.66,qfq,stock_zh_a_hist
2026-04-09,001317,48.9,48.15,49.26,47.91,15849,76527876.3,2.75,-1.87,-0.92,1.85,qfq,stock_zh_a_hist
2026-04-10,001317,48.55,49.45,50.35,48.55,27574,136290638.96,3.74,2.7,1.3,3.23,qfq,stock_zh_a_hist
2026-04-13,001317,49.02,49.17,49.61,48.63,18925,92746630.83,1.98,-0.57,-0.28,2.21,qfq,stock_zh_a_hist
2026-04-14,001317,49.54,48.5,49.9,47.92,19282,93911782.47,4.03,-1.36,-0.67,2.26,qfq,stock_zh_a_hist
2026-04-15,001317,48.8,48.11,48.9,48.11,13701,66349224.41,1.63,-0.8,-0.39,1.6,qfq,stock_zh_a_hist
2026-04-16,001317,48.13,48.55,48.8,47.92,13410,65031648.0,1.83,0.91,0.44,1.57,qfq,stock_zh_a_hist
2026-04-17,001317,48.49,49.93,51.5,48.22,57215,286818112.22,6.76,2.84,1.38,6.69,qfq,stock_zh_a_hist
2026-04-20,001317,49.93,50.76,51.33,49.7,29548,149924628.5,3.26,1.66,0.83,3.46,qfq,stock_zh_a_hist
2026-04-21,001317,50.6,50.2,51.16,49.73,21666,108845900.22,2.82,-1.1,-0.56,2.53,qfq,stock_zh_a_hist
2026-04-22,001317,50.2,50.11,50.89,49.91,21733,109189556.12,1.95,-0.18,-0.09,2.54,qfq,stock_zh_a_hist
2026-04-23,001317,49.79,49.31,50.56,48.83,24956,123378683.83,3.45,-1.6,-0.8,2.92,qfq,stock_zh_a_hist
2026-04-24,001317,50.5,50.91,52.9,50.14,72027,371219104.97,5.6,3.24,1.6,8.43,qfq,stock_zh_a_hist
2026-04-27,001317,51.76,52.58,53.3,50.88,56007,293159157.94,4.75,3.28,1.67,6.55,qfq,stock_zh_a_hist
2026-04-28,001317,52.58,51.65,53.88,51.4,37820,198446139.4,4.72,-1.77,-0.93,4.42,qfq,stock_zh_a_hist
2026-04-29,001317,51.7,52.7,53.7,51.29,41150,217049828.66,4.67,2.03,1.05,4.81,qfq,stock_zh_a_hist
2026-04-30,001317,52.88,52.83,54.03,52.55,32823,174481621.56,2.81,0.25,0.13,3.84,qfq,stock_zh_a_hist
2026-05-06,001317,52.88,54.35,54.85,51.6,46061,245907099.59,6.15,2.88,1.52,5.39,qfq,stock_zh_a_hist
2026-05-07,001317,54.56,57.94,58.88,54.26,59114,337350578.5,8.5,6.61,3.59,6.92,qfq,stock_zh_a_hist
2026-05-08,001317,57.68,55.25,57.68,54.85,70494,392739709.98,4.88,-4.64,-2.69,8.25,qfq,stock_zh_a_hist
2026-05-11,001317,55.22,56.69,57.88,54.32,66252,370090584.97,6.44,2.61,1.44,7.75,qfq,stock_zh_a_hist
2026-05-12,001317,56.45,59.2,60.5,56.34,70328,413908346.34,7.34,4.43,2.51,8.23,qfq,stock_zh_a_hist
2026-05-13,001317,59.2,60.52,61.41,58.55,56490,340124571.6,4.83,2.23,1.32,6.61,qfq,stock_zh_a_hist
2026-05-14,001317,60.21,58.34,61.98,58.0,48613,287988795.83,6.58,-3.6,-2.18,5.69,qfq,stock_zh_a_hist
2026-05-15,001317,58.52,58.22,59.98,58.0,41159,242535643.54,3.39,-0.21,-0.12,4.81,qfq,stock_zh_a_hist
2026-05-18,001317,58.47,56.91,58.47,55.36,54440,307965430.37,5.34,-2.25,-1.31,6.37,qfq,stock_zh_a_hist
2026-05-19,001317,56.8,56.94,58.08,55.55,40235,229286164.81,4.45,0.05,0.03,4.71,qfq,stock_zh_a_hist
2026-05-20,001317,56.6,57.68,57.8,55.88,35084,199473616.0,3.37,1.3,0.74,4.1,qfq,stock_zh_a_hist
2026-05-21,001317,57.66,55.92,58.56,55.71,41295,236734542.81,4.94,-3.05,-1.76,4.83,qfq,stock_zh_a_hist
2026-05-22,001317,56.02,55.7,57.0,55.46,31701,177624026.01,2.75,-0.39,-0.22,3.71,qfq,stock_zh_a_hist
2026-05-25,001317,55.35,55.11,55.99,53.28,38843,212065824.12,4.87,-1.06,-0.59,4.54,qfq,stock_zh_a_hist
2026-05-26,001317,54.65,54.87,55.86,53.77,32706,178803562.43,3.79,-0.44,-0.24,3.83,qfq,stock_zh_a_hist
2026-05-27,001317,54.8,53.33,55.28,52.99,30504,163895095.97,4.17,-2.81,-1.54,3.57,qfq,stock_zh_a_hist
2026-05-28,001317,53.2,52.9,54.29,51.77,28847,152561550.38,4.73,-0.81,-0.43,3.37,qfq,stock_zh_a_hist
2026-05-29,001317,52.55,51.26,53.15,50.69,29169,150499650.19,4.65,-3.1,-1.64,3.41,qfq,stock_zh_a_hist
