序号,stock_code,stock_name,资产-货币资金,资产-应收账款,资产-存货,total_assets,资产-总资产同比,负债-应付账款,负债-预收账款,total_liabilities,负债-总负债同比,asset_liability_ratio,equity,announcement_date,report_date_param
110,688379,华光新材,487928882.78,853503867.95,1109377725.74,3947701187.59,45.9452930275,108031153.5,,2543942654.48,57.8652997499,64.4411148057,1403758533.11,2026-04-30,20260331
114,688360,德马科技,746716271.95,535623495.02,742020035.98,3575845843.74,21.4700330386,517585797.54,,2086635677.6,37.2592494861,58.3536250941,1489210166.14,2026-04-30,20260331
116,688353,华盛锂电,504730292.55,530759802.87,155818491.1,4537594035.79,7.3764260093,178971027.28,,866793671.2,18.2052343189,19.1024949425,3670800364.59,2026-04-30,20260331
120,688339,亿华通,634991589.68,1042869947.37,97927231.57,3505153717.81,-22.2008767033,547486469.38,,1396236711.2,-21.3910857912,39.8338225255,2108917006.61,2026-04-30,20260331
123,688325,赛微微电,210777019.94,49187411.75,210361684.74,1973942878.98,7.3660641145,41073431.71,,199089636.84,90.0508720977,10.0858864236,1774853242.14,2026-04-30,20260331
126,688319,欧林生物,192296155.2,706565372.65,66456039.67,2019911707.99,13.8600521022,141302018.42,,1088734294.39,28.7436661218,53.9000932607,931177413.6,2026-04-30,20260331
128,688317,之江生物,2422741216.05,30035805.72,49313047.12,3706726515.21,-1.7701920598,53646584.64,,404129580.96,67.190092688,10.9026004293,3302596934.25,2026-04-30,20260331
132,688305,科德数控,288488922.82,260670108.62,428863982.41,2307765800.0,-0.2847714921,165645066.73,,388782246.56,-15.8541629293,16.8466941732,1918983553.44,2026-04-30,20260331
136,688286,敏芯股份,159977851.56,68978114.81,216962651.92,1175537878.09,-1.9279151632,50243317.62,,112165285.79,-32.6228302753,9.5416139182,1063372592.3,2026-04-30,20260331
138,688275,万润新能,6880271122.72,3707348947.59,1931100062.3,23475357107.8,24.7985834533,1865551382.67,,17987223958.66,34.3705738611,76.621726673,5488133149.14,2026-04-30,20260331
141,688261,东微半导,727564990.16,164125140.26,598586134.42,3094250754.28,-0.5368538839,61017373.43,,146299482.89,-30.0533870878,4.728106883,2947951271.39,2026-04-30,20260331
