序号,stock_code,stock_name,net_profit,net_profit_yoy,revenue,revenue_yoy,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,operating_profit,total_profit,announcement_date,report_date_param
64,688601,力芯微,-1392980.71,-113.97,206426912.63,25.7051061343,133437316.2,15976797.31,12878479.68,2620626.98,213872065.26,-6404465.48,-6405956.42,2026-04-30,20260331
66,688595,芯海科技,-38986210.1,-62.188266967618,177497857.54,12.0683188825,124980216.49,8072091.59,19273982.39,2634579.46,217316041.13,-36339408.71,-35711879.25,2026-04-30,20260331
67,688590,新致软件,1736760.75,-88.96,439236675.89,1.1662171646,323901734.44,28798601.6,31852498.97,12512731.79,437769531.61,-655199.75,-629041.44,2026-04-30,20260331
71,688579,地纬智能,-19902820.08,-476.255280431789,39534839.44,-55.946284561,17090955.86,4245231.16,14657441.84,-367365.25,61029618.87,-19906543.1,-20122030.0,2026-04-30,20260331
76,688562,航天软件,-58713034.49,-31.815993127772,47685976.93,-27.8612627467,38019556.07,10399718.19,23472193.28,-743485.59,112874746.88,-63862924.05,-63960310.61,2026-04-30,20260331
81,688556,高测股份,-50227922.29,32.252388874288,791837077.7,15.4637187234,710936785.71,14884651.82,69974816.53,15408838.84,857046223.67,-61871029.85,-61749278.8,2026-04-30,20260331
82,688529,豪森智能,-94172498.83,-198.423019489024,560922034.66,10.8862336539,516940957.87,11494623.69,56643170.42,21234836.21,636487980.97,-99996831.01,-100532567.9,2026-04-30,20260331
86,688518,联赢激光,45942918.0,-2.08,885409155.72,1.7391683081,647572924.95,20397125.21,115946777.74,1276092.76,846595507.47,45956215.26,46111447.74,2026-04-30,20260331
88,688505,复旦张江,7711649.0,189.36,149051087.0,-17.1506042175,12282491.0,72932623.0,10321731.0,-294501.0,150948265.0,7658982.0,7635510.0,2026-04-30,20260331
90,688500,慧辰股份,-27558708.7,-56.077887076773,105046021.53,36.4785914044,82384003.94,25445818.21,15309139.2,-342199.89,129735726.14,-27430319.53,-27430319.23,2026-04-30,20260331
91,688499,利元亨,18877372.27,47.25,875013117.8,22.4276390299,661959781.02,30523036.04,64780485.27,2721940.12,860001982.01,20349694.94,20967693.3,2026-04-30,20260331
92,688489,三未信安,-22614789.47,33.508251597977,72154760.18,10.1083475448,14624506.61,40143448.56,16396518.98,-477060.73,103110464.49,-29077614.81,-28883880.45,2026-04-30,20260331
93,688488,艾迪药业,7606253.11,-51.19,178023123.63,-10.0259614305,57829450.25,64499488.47,21609793.84,3981324.39,163507908.0,18138656.82,15846343.79,2026-04-30,20260331
95,688478,晶升股份,-8759329.45,-245.79,3022085.47,-95.7323343584,2108194.71,1138489.96,7580363.84,-58747.64,21014345.34,-11753103.43,-11585638.91,2026-04-30,20260331
96,688458,美芯晟,-5393445.24,-246.91,116575550.7,-6.8468291318,76491105.82,6656839.0,9941698.17,771496.56,133583749.62,-12051383.99,-12051376.99,2026-04-30,20260331
