stock_code,stock_name,total_share,float_share,total_market_value,float_market_value,industry,listing_date,source,download_date
002962,五方光电,291665352.0,209184005.0,5949973180.799999,4267353702.0,光学光电子,20190917,stock_individual_info_em,20260608
002969,嘉美包装,1098495710.0,1092735244.0,16598270178.099998,16511229536.84,包装印刷,20191202,stock_individual_info_em,20260608
002970,锐明技术,182715062.0,125170520.0,11072532757.2,7585333512.0,计算机设备,20191217,stock_individual_info_em,20260608
002971,和远气体,211755000.0,156401350.0,8398203299.999999,6202877540.999999,化学制品,20200113,stock_individual_info_em,20260608
002973,侨银股份,408665700.0,317653078.0,5369867298.0,4173961444.92,环境治理,20200106,stock_individual_info_em,20260608
002975,博杰股份,208130736.0,137354039.0,24786289350.24,16357492504.51,自动化设备,20200205,stock_individual_info_em,20260608
002976,瑞玛精密,149700687.0,66674450.0,4297906723.77,1914223459.5,汽车零部件,20200306,stock_individual_info_em,20260608
002980,华盛昌,189401160.0,101287044.0,22408051239.6,11983270175.64,电网设备,20200415,stock_individual_info_em,20260608
003002,壶化股份,200000000.0,182847275.0,4256000000.0,3890990012.0,化学制品,20200922,stock_individual_info_em,20260608
003010,若羽臣,311059476.0,226142182.0,7247685790.8,5269112840.6,互联网电商,20200925,stock_individual_info_em,20260608
003015,日久光电,281066667.0,247325250.0,3375610670.67,2970376252.5,光学光电子,20201021,stock_individual_info_em,20260608
003016,欣贺股份,420521612.0,410882842.0,2888983474.44,2822765124.54,服装家纺,20201026,stock_individual_info_em,20260608
003019,宸展光电,176952359.0,171045109.0,6016380206.0,5815533706.0,光学光电子,20201117,stock_individual_info_em,20260608
003020,立方制药,228218618.0,168548255.0,3519131089.56,2599014092.1,化学制药,20201215,stock_individual_info_em,20260608
003025,思进智能,283953558.0,226415928.0,4415477826.900001,3520767680.4,通用设备,20201211,stock_individual_info_em,20260608
003026,中晶科技,187767550.0,144560879.0,5563552506.5,4283338844.77,半导体,20201218,stock_individual_info_em,20260608
003028,振邦智能,144711000.0,70538197.0,3733543800.0,1819885482.6,家电零部件Ⅱ,20201228,stock_individual_info_em,20260608
003029,吉大正元,193620227.0,176099013.0,3456121051.9500003,3143367382.05,软件开发,20201224,stock_individual_info_em,20260608
003033,征和工业,81750000.0,80743642.0,4560015000.0,4503880350.76,摩托车及其他,20210111,stock_individual_info_em,20260608
300040,九洲集团,643410436.0,517376045.0,4574648199.96,3678543679.95,电力,20100108,stock_individual_info_em,20260608
300041,回天新材,559434739.0,544087190.0,7116009880.08,6920789056.8,化学制品,20100108,stock_individual_info_em,20260608
300042,朗科科技,200400000.0,200381550.0,12943836000.0,12942644314.5,计算机设备,20100108,stock_individual_info_em,20260608
300043,星辉娱乐,1244198401.0,1243533501.0,5549124868.46,5546159414.46,游戏Ⅱ,20100120,stock_individual_info_em,20260608
300048,合康新能,1132347357.0,1130231607.0,6284527831.349999,6272785418.849999,自动化设备,20100120,stock_individual_info_em,20260608
300050,世纪鼎利,544846718.0,544514549.0,3862963230.62,3860608152.41,通信服务,20100120,stock_individual_info_em,20260608
300053,航宇微,696874323.0,650818928.0,11721426112.86,10946774368.96,半导体,20100211,stock_individual_info_em,20260608
300055,万邦达,836749606.0,632849344.0,6459706958.32,4885596935.68,炼化及贸易,20100226,stock_individual_info_em,20260608
300056,中创环保,385490443.0,385198093.0,3770096532.54,3767237349.54,环境治理,20100226,stock_individual_info_em,20260608
300057,万顺新材,1003571463.0,830975988.0,8169071708.820001,6764144542.320001,工业金属,20100226,stock_individual_info_em,20260608
300061,旗天科技,658993677.0,622169705.0,5271949416.0,4977357640.0,广告营销,20100319,stock_individual_info_em,20260608
300062,中能电气,629937370.0,458358250.0,3956006683.6,2878489810.0,电网设备,20100319,stock_individual_info_em,20260608
300063,天龙集团,758527150.0,626516943.0,7228763739.499999,5970706466.79,广告营销,20100326,stock_individual_info_em,20260608
300066,三川智慧,1040033262.0,998099315.0,6146596578.42,5898766951.650001,通用设备,20100326,stock_individual_info_em,20260608
300121,阳谷华泰,445236607.0,429361741.0,5685671471.389999,5482949432.57,橡胶,20100917,stock_individual_info_em,20260608
300129,泰胜风能,1108853245.0,718710186.0,10434309035.45,6763062850.26,风电设备,20101019,stock_individual_info_em,20260608
300135,宝利国际,921600000.0,921600000.0,3105792000.0,3105792000.0,炼化及贸易,20101026,stock_individual_info_em,20260608
300138,晨光生物,483100093.0,398313292.0,4715056907.68,3887537729.92,农产品加工,20101105,stock_individual_info_em,20260608
