序号,stock_code,stock_name,net_cash_flow,净现金流-同比增长,operating_cash_flow,经营性现金流-净现金流占比,investing_cash_flow,投资性现金流-净现金流占比,financing_cash_flow,融资性现金流-净现金流占比,announcement_date,report_date_param
110,688379,华光新材,304244238.29,101.5812430674,-546419000.05,-179.5987996753,-26869970.86,-8.8317106713,880919819.93,289.5436327344,2026-04-30,20260331
114,688360,德马科技,124383883.51,280.5419056737,47566946.37,38.2420495547,55903082.47,44.9439918521,23606987.19,18.9791366243,2026-04-30,20260331
116,688353,华盛锂电,13643964.47,105.1515206135,-108916557.31,-798.2764653887,23837471.13,174.7107388209,102618224.76,752.1144238219,2026-04-30,20260331
120,688339,亿华通,-23243609.01,87.9237254909,-50190402.17,-215.9320531868,71110194.38,305.9343940496,-39508419.25,-169.9754080057,2026-04-30,20260331
123,688325,赛微微电,-46170301.55,-337.1940007016,-27569263.3,-59.7121144425,-35260122.93,-76.3697046505,16680218.94,36.1275936696,2026-04-30,20260331
126,688319,欧林生物,-54311978.74,-66.1762964971,-25424588.51,-46.8121197199,-22783990.37,-41.950212271,-6103399.86,-11.2376680091,2026-04-30,20260331
128,688317,之江生物,-129991266.81,7.5502176973,-3659740.91,-2.8153744477,-89030640.12,-68.4897088126,-22230905.94,-17.1018457513,2026-04-30,20260331
132,688305,科德数控,23973877.01,233.8976910922,8332611.9,34.7570478339,15641265.11,65.2429521661,,,2026-04-30,20260331
136,688286,敏芯股份,-14482660.0,-227.9610871262,-19945757.57,-137.7216448498,48891255.3,337.584775863,-43000140.89,-296.9077565171,2026-04-30,20260331
138,688275,万润新能,320603076.44,209.5065828198,-1100189111.55,-343.1623687978,-1352413944.74,-421.8343628381,2777005674.54,866.1818549516,2026-04-30,20260331
141,688261,东微半导,-872341528.95,16.4732063044,-76530927.78,-8.7730464778,-802498875.53,-91.9936571741,6694075.28,0.7673686346,2026-04-30,20260331
142,688257,新锐股份,-4138454.5,96.9131606685,168376199.85,4068.5768044568,-232508079.47,-5618.2345237818,62681840.64,1514.6195431169,2026-04-30,20260331
146,688239,航宇科技,40778468.38,113.6497100068,41627738.98,102.0826446744,-110595476.35,-271.210471466,113915837.2,279.3529078593,2026-04-30,20260331
151,688219,会通股份,125298295.14,2.7730259113,-56582129.37,-45.1579403429,-760723.12,-0.6071296654,188907929.82,150.7665603981,2026-04-30,20260331
154,688212,澳华内镜,26866701.83,138.8439925518,-44612371.62,-166.0507936638,20005525.97,74.4621580147,52371089.59,194.9293587333,2026-04-30,20260331
